model,female_coef,female_se,female_pvalue,r_squared,n_obs
M0,-0.17941678724104265,0.0015155605178316192,0.0,0.015989661785313025,862464
M1,-0.2411895218735745,0.001320394103810819,0.0,0.26680452364831564,862464
M2,-0.23937176371190574,0.0013079797688388883,0.0,0.28089816410380475,862464
M3,-0.14578567467757939,0.0014407306596283132,0.0,0.42208417301540946,862464
M4,-0.1499716656061983,0.001448638676877506,0.0,0.42485943782403635,862464
M5,-0.15317722259886582,0.0015045840343211297,0.0,0.42904075342169057,862464
