group,male_mean,female_mean,gap_dollars,gap_pct,n
construction,22.865031078908082,22.788686767793514,0.07634431111456763,0.3338911320570724,50339
education_health,30.18970314156745,23.16133365292461,7.028369488642838,23.28068433029953,217255
government,31.25072330200846,26.683523040754324,4.567200261254136,14.614702569014156,48819
information_finance,40.60941148796013,27.947226229240272,12.662185258719859,31.180420485714105,78466
leisure_hospitality,17.136744404869095,14.78749283972002,2.349251565149075,13.70885571755145,64450
manufacturing,28.207421814358995,23.55356113919168,4.653860675167316,16.498709828199424,100540
military,25.247436200106403,24.820605035818225,0.4268311642881777,1.690592109651034,6377
natural_resources,27.98001831674664,23.544946952991904,4.435071363754737,15.850852253017475,24745
other_services,20.648793457353268,17.627686340042303,3.021107117310965,14.630913537638756,31349
professional_services,33.705625140657006,26.116255891625862,7.589369249031144,22.516625095543944,96111
trade,23.47263324283016,18.369647329384385,5.1029859134457745,21.740151011836343,108829
transport_utilities,24.023950853264,20.711190779794126,3.3127600734698746,13.789405804665089,35184
