model,employment_female_prob_pp,female_conditional_log_earnings_coef,female_conditional_earnings_pct,combined_expected_earnings_male,combined_expected_earnings_female,combined_expected_earnings_gap_dollars,combined_expected_earnings_gap_pct,observed_total_earnings_gap_pct,observed_worker_hourly_gap_pct,ipw_worker_hourly_gap_pct,employment_model_female_coef,n_total,n_employed
S0,-10.171457816743267,-0.36120529671418244,-30.316407434467518,50198.23285683203,30637.313767330234,19560.919089501796,38.96734601253903,39.037596875811886,20.12488967232213,20.12488967232213,-0.5791221833550352,1164598,886110
S1,-11.80641319932883,-0.43171976551852786,-35.06086669677799,51436.01179720832,29319.519680861664,22116.492116346653,42.99806953062995,39.037596875811886,20.12488967232213,21.16072156914153,-0.7166379668271948,1164598,886110
S2,-9.457642165978962,-0.41301334557951297,-33.83465473798356,50423.73069645489,30096.062522259544,20327.668174195347,40.31369336109935,39.037596875811886,20.12488967232213,21.24914265207335,-0.5820828428795235,1164598,886110
