model,female_coef,female_se,female_pvalue,r_squared,n_obs
M0,-0.15199840021967323,0.0070394549328662145,7.759629198135575e-103,0.011045943833326577,41744
M1,-0.22701771421339478,0.00626367599018863,3.1856094395159324e-283,0.2331835913559922,41744
M2,-0.22502603681005995,0.006233129175639121,4.69385868151441e-281,0.24238848605056185,41744
M3,-0.18623425777044164,0.006685075599121206,3.0707378837516393e-169,0.29009805173425396,41744
M_full,-0.18581268632708947,0.0066660249401067195,1.961937895598564e-169,0.3001366577904291,41744
