model,female_coef,female_se,female_pvalue,r_squared,n_obs
P0,-0.16929055897514114,0.0005480668349669911,0.0,0.01337177674977652,7039843
P1,-0.23383996363080567,0.0004833437120827347,0.0,0.24685112898666606,7039843
P2,-0.23033100959138464,0.0004728578226131014,0.0,0.2795251816130834,7039843
P3,-0.20893992616690765,0.0005033960610539034,0.0,0.3335430011508681,7039843
P4,-0.20864016783678133,0.0005100536009282183,0.0,0.33510120651369324,7039843
P5,-0.21103144000601706,0.0005326588978138675,0.0,0.34205355935491544,7039843
