group,male_mean,female_mean,gap_dollars,gap_pct,n
construction,26.94403896160751,25.224964493238737,1.719074468368774,6.380166206032728,53877
education_health,34.14022591972874,26.762028354640773,7.378197565087969,21.61144915219879,226664
government,33.835602874775425,29.43642716509865,4.399175709676776,13.001617633230877,49978
information_finance,47.20541067070393,33.16242953876311,14.04298113194082,29.74866849459698,61473
leisure_hospitality,20.57732603394391,17.75483202768474,2.82249400625917,13.716524691319199,63750
manufacturing,31.167364928712082,26.94177424471572,4.225590683996362,13.557741225995182,97194
military,28.33451086395285,27.169323523993146,1.1651873399597044,4.112255000816178,6979
natural_resources,30.925129813104675,27.44809968883258,3.477030124272094,11.243380853323647,22394
other,43.54324040317607,30.820499399625348,12.722741003550723,29.218636201045612,16777
other_services,23.88741655528155,21.257380157682288,2.6300363975992624,11.01013327043002,32690
professional_services,39.730245470041496,31.428753859608832,8.301491610432663,20.894639618303856,104951
trade,26.31704552100752,21.495919063009246,4.821126457998272,18.319406158832756,104955
transport_utilities,26.711225253635774,21.833000028158907,4.878225225476868,18.262828377042993,38731
