group,gap,se,ci_lower,ci_upper,n
healthcare,-0.2627993255168259,0.0059502844512647635,-0.2744618830413048,-0.25113676799234697,91051
management_professional,-0.2801116627659033,0.002242604396672815,-0.28450716738338205,-0.2757161581484246,339680
military,0.006811853661971609,0.02793948362479764,-0.047949534242631764,0.06157324156657498,3514
natural_resources_construction,-0.3446609259511439,0.011915801477827467,-0.3680158968476857,-0.3213059550546021,46316
production_transport,-0.2941120283336801,0.00396414929135882,-0.3018817609447434,-0.2863422957226168,138235
sales_office,-0.2686242037602146,0.003332634107342424,-0.27515616661060577,-0.26209224090982347,163903
service,-0.25520894589809234,0.004216197313050468,-0.2634726926316713,-0.24694519916451343,97714
