group,gap,se,ci_lower,ci_upper,n
1,-0.22977127579858445,0.012288238736151556,-0.2538562237214415,-0.20568632787572738,12065
2,-0.014638778314672668,0.02937554389476074,-0.07221484434840372,0.04293728771905839,1915
4,-0.14002276807061542,0.010112548349575666,-0.15984336283578374,-0.12020217330544712,17883
5,-0.1809805715259526,0.015360450889957798,-0.21108705527026989,-0.1508740877816353,7393
6,-0.13701522594755167,0.004571262141319174,-0.14597489974453726,-0.12805555215056608,109032
8,-0.20458908450198357,0.010552664378886004,-0.22527230668460013,-0.183905862319367,16965
9,-0.17309125674809744,0.014500729815959663,-0.2015126871873784,-0.1446698263088165,9715
10,-0.19337518588313432,0.026738638501515248,-0.2457829173461042,-0.14096745442016445,2402
11,-0.06781239751698509,0.02612206344908102,-0.11901164187718388,-0.01661315315678629,2745
12,-0.12808935808057695,0.006060885830277871,-0.13996869430792158,-0.11621002185323231,50749
13,-0.1647966243051925,0.008497591102376686,-0.1814519028658508,-0.14814134574453422,27884
15,-0.10442505768265233,0.021243140616331268,-0.1460616132906616,-0.06278850207464304,3832
16,-0.20852213307936784,0.020317596201617265,-0.2483446216345377,-0.168699644524198,4348
17,-0.19500968816926864,0.007467465860564919,-0.2096459212559759,-0.1803734550825614,35787
18,-0.22457721600857286,0.009538926849387768,-0.24327351263337288,-0.20588091938377284,18293
19,-0.21295809795508142,0.013836852185206258,-0.24007832823808567,-0.18583786767207716,8613
20,-0.22880205337887488,0.014841347478224636,-0.2578910944361952,-0.19971301232155458,7834
21,-0.17666765356827446,0.012197001106013072,-0.20057377573606008,-0.15276153140048884,11654
22,-0.2642018237375328,0.013338000417373399,-0.2903443045555847,-0.23805934291948094,11005
23,-0.1035654784632502,0.021674792189390567,-0.14604807115445573,-0.061082885772044695,3116
24,-0.1110208529992647,0.01048716999527472,-0.13157570619000314,-0.09046599980852625,17609
25,-0.14157487635021473,0.009535547081883556,-0.1602645486307065,-0.12288520406972296,21005
26,-0.1944342752519854,0.008433455627432411,-0.2109638482817529,-0.17790470222221788,26007
27,-0.18843920693914315,0.010536316132168438,-0.2090903865581933,-0.16778802732009301,15370
28,-0.17360026141080478,0.016137211790142488,-0.20522919651948407,-0.1419713263021255,6979
29,-0.16307445170660145,0.010338932983686848,-0.18333876035462768,-0.14281014305857523,16545
30,-0.18171807471838428,0.026317371265397977,-0.23330012239856432,-0.13013602703820423,2384
31,-0.15082680780269878,0.01719006591948274,-0.18451933700488493,-0.1171342786005126,5236
32,-0.11898531594328085,0.01455916232449301,-0.14752127409928714,-0.09044935778727456,8261
33,-0.15916733587364823,0.021195243684259443,-0.20071001349479672,-0.11762465825249972,3704
34,-0.20662199172842496,0.009399997511156607,-0.22504598685029192,-0.188197996606558,25771
35,-0.1570718138906544,0.02085865009276345,-0.19795476807247075,-0.11618885970883802,4673
36,-0.12146318230420838,0.006199485915005715,-0.13361417469761958,-0.10931218991079718,56113
37,-0.16235513104460436,0.008366521419629758,-0.17875351302707868,-0.14595674906213005,27447
38,-0.05643165498000742,0.02831915741268503,-0.11193720350887007,-0.0009261064511447634,2029
39,-0.17745605970662257,0.007362590182324889,-0.19188673646397936,-0.16302538294926577,32360
40,-0.22460279555606652,0.014103966212203788,-0.25224656933198597,-0.1969590217801471,9257
41,-0.14699450578759468,0.012531852370602762,-0.1715569364339761,-0.12243207514121326,11609
42,-0.17888829558458932,0.007409427148537542,-0.1934107727957229,-0.16436581837345574,34380
44,-0.10817130264526092,0.023692974244408967,-0.1546095321643025,-0.06173307312621935,2888
45,-0.20667905881966842,0.011728625226033212,-0.2296671642626935,-0.18369095337664332,12896
46,-0.12596446699982242,0.025425910221431414,-0.17579925103382799,-0.07612968296581685,2278
47,-0.18137341265111093,0.01002748811724301,-0.20102728936090722,-0.16171953594131463,17968
48,-0.20177248166638553,0.00524939934973236,-0.21206130439186097,-0.1914836589409101,74705
49,-0.3030789660919119,0.013814095719455976,-0.33015459370204564,-0.2760033384817782,9003
50,-0.04848541181307652,0.029292610900932294,-0.10589892917890381,0.008928105552750774,1592
51,-0.17885949803528706,0.009105173815501542,-0.19670563871367008,-0.16101335735690403,24722
53,-0.20299636784753025,0.00934215071637244,-0.22130698325162024,-0.18468575244344027,22554
54,-0.20440414966160092,0.020835444136753218,-0.24524162016963724,-0.1635666791535646,4243
55,-0.17438622786214372,0.009854140136827439,-0.1937003425303255,-0.15507211319396194,16034
56,-0.33688791895055537,0.03132215807535116,-0.3982793487782436,-0.2754964891228671,1561
