group,male_mean,female_mean,gap_dollars,gap_pct,n
associates,27.453755915440766,22.514998103220716,4.93875781222005,17.98937029757139,88086
bachelors,40.30573020571402,31.031805512729875,9.273924692984146,23.008948468745047,232761
doctorate,57.10937369288569,47.19835911391959,9.911014578966103,17.35444453000673,16722
hs_diploma,22.40157561532789,17.862484480167623,4.539091135160266,20.262374455725656,185299
less_than_hs,19.34666176596914,16.131341558579205,3.2153202073899365,16.619509072338765,57312
masters,50.9088653155351,36.996774772737815,13.912090542797287,27.327441805213326,107755
professional,69.84198498438978,55.15034523266148,14.691639751728303,21.035541522784605,21793
some_college,25.770330242748322,20.169428565860922,5.6009016768874,21.733915026034538,170685
