group,gap,se,ci_lower,ci_upper,n
associates,-0.2078561416176989,0.004012481781389653,-0.2157206059092226,-0.19999167732617518,88086
bachelors,-0.23402982352137003,0.002736298235917142,-0.2393929680637676,-0.22866667897897244,232761
doctorate,-0.13320996806871402,0.010338596888755576,-0.15347361797067494,-0.11294631816675309,16722
hs_diploma,-0.24465722075131793,0.00289582289500036,-0.2503330336255186,-0.23898140787711722,185299
less_than_hs,-0.23098700114567033,0.005412052978846138,-0.24159462498420878,-0.2203793773071319,57312
masters,-0.2614181448333552,0.003948593735688697,-0.269157388555305,-0.25367890111140534,107755
professional,-0.1798893965037132,0.010366928704707696,-0.20020857676494028,-0.1595702162424861,21793
some_college,-0.25354401641645663,0.0029745706222318296,-0.25937417483603104,-0.24771385799688225,170685
