block,delta,se,pct_of_explained,year,specification
geography,-0.0013990085324686768,4.906368923136e-05,1.563431811863389,2015,default_M1_to_M5
job_sorting,-0.09792201033174464,0.002284411714574168,109.43063067965436,2015,default_M1_to_M5
schedule,0.007822399798713131,0.00033653543412258765,-8.74175418275778,2015,default_M1_to_M5
family,0.0020154371410253044,0.00046606500409185163,-2.252308308320135,2015,default_M1_to_M5
TOTAL,-0.0894831819240813,,100.0,2015,default_M1_to_M5
geography,-0.0016787775999411747,4.571614354883777e-05,1.8514744024241037,2016,default_M1_to_M5
job_sorting,-0.09949036900638111,0.0023050234023446864,109.72499961251427,2016,default_M1_to_M5
schedule,0.008526516597513618,0.0003233690536442003,-9.403644188899053,2016,default_M1_to_M5
family,0.0019701585049489777,0.0004696862184047393,-2.1728298261538583,2016,default_M1_to_M5
TOTAL,-0.09067247150396354,,100.0,2016,default_M1_to_M5
geography,-0.0016258888734999258,4.9747226432638214e-05,1.786273863527052,2017,default_M1_to_M5
job_sorting,-0.09866842602791767,0.002263290335689955,108.40152327854015,2017,default_M1_to_M5
schedule,0.007520507382958985,0.00032267955931486046,-8.262364050578809,2017,default_M1_to_M5
family,0.00175255334806826,0.00046355208438419234,-1.9254330914709368,2017,default_M1_to_M5
TOTAL,-0.09102125417037446,,100.0,2017,default_M1_to_M5
geography,-0.001974223783468163,4.747856717157668e-05,2.21128885400375,2018,default_M1_to_M5
job_sorting,-0.09618091824775836,0.0021905883036330395,107.73033648469558,2018,default_M1_to_M5
schedule,0.007581288744133025,0.0003186867109173624,-8.491650966454785,2018,default_M1_to_M5
family,0.0012945273460010331,0.0004653329651165956,-1.4499743724018932,2018,default_M1_to_M5
TOTAL,-0.08927932594123295,,100.0,2018,default_M1_to_M5
geography,-0.0021020548065603657,5.345539659232995e-05,2.515706570998247,2019,default_M1_to_M5
job_sorting,-0.10557193088732306,0.002333756468068273,126.34684852998595,2019,default_M1_to_M5
schedule,0.02200261724772134,0.0003230364141548175,-26.33239086654726,2019,default_M1_to_M5
family,0.0021141352303572264,0.0004897235437950162,-2.5301642347239306,2019,default_M1_to_M5
TOTAL,-0.08355723321604466,,100.0,2019,default_M1_to_M5
geography,-0.002080175461606696,6.076699620372126e-05,2.930501436228011,2021,default_M1_to_M5
job_sorting,-0.10344246845988997,0.0025063278475660356,145.7272754071134,2021,default_M1_to_M5
schedule,0.0328600224201763,0.0003223432539525693,-46.292413632469945,2021,default_M1_to_M5
family,0.0016790199956710314,0.000540057780919628,-2.365363210740447,2021,default_M1_to_M5
TOTAL,-0.07098360150555633,,100.0,2021,default_M1_to_M5
geography,-0.0022882185489702905,5.017166521704254e-05,2.818935991769194,2022,default_M1_to_M5
job_sorting,-0.10397061522198275,0.002162138888058917,128.0850159472414,2022,default_M1_to_M5
schedule,0.025887860827546665,0.0002926316897333357,-31.892155873626137,2022,default_M1_to_M5
family,-0.0008021560545188869,0.0004829202630027735,0.9882039345046062,2022,default_M1_to_M5
TOTAL,-0.08117312899801532,,100.0,2022,default_M1_to_M5
geography,-0.0021334596452541386,4.619149684651118e-05,2.486914479535958,2023,default_M1_to_M5
job_sorting,-0.10759927009151501,0.0021373556832470467,125.4254718964762,2023,default_M1_to_M5
schedule,0.02481218282752628,0.00027503512537067383,-28.922870362199017,2023,default_M1_to_M5
family,-0.0008668680906488856,0.000475776933765105,1.010483986082427,2023,default_M1_to_M5
TOTAL,-0.08578741499998135,,100.0,2023,default_M1_to_M5
