dataset,dataset_label,year,raw_gap_pct,ols_model,ols_female_coef,ols_pct_gap,ols_r_squared,ols_n_obs,oaxaca_source,oaxaca_total_gap_log,oaxaca_explained_log,oaxaca_explained_pct,oaxaca_unexplained_log,oaxaca_unexplained_pct,dml_nuisance_learner,dml_treatment_effect,dml_pct_gap,dml_std_error,dml_ci_lower,dml_ci_upper,dml_pvalue,dml_n_obs
acs,ACS,2023,16.81146562386103,M5,-0.141944123888933,13.23302628579518,0.4013781129966748,915284,canonical,0.1623249571581171,0.0197854121849135,12.188767846487751,0.1425395449732035,87.81123215351225,elasticnet,-0.1969538537589779,17.877147095208613,0.001700156516694,-0.2002860992997794,-0.1936216082181765,0.0,915284
cps,CPS ASEC,2023,15.765455908384055,M_full,-0.1858126863270894,16.957086885490035,0.3001366577904291,41744,ad_hoc,0.1519984002196737,0.0138615004120483,9.119504147422075,0.1381368998076253,90.88049585257794,elasticnet,-0.2183338058550249,19.614293531864657,0.0080196446358856,-0.2340520205101706,-0.2026155911998792,3.2977853746825543e-163,41744
sipp,SIPP,2023,15.089098651465717,SIPP3,-0.1155747986209304,10.914606490086964,0.2530094159605098,182658,ad_hoc,0.1447903637382657,0.0208448754192106,14.396590270946133,0.123945488319055,85.60340972905387,elasticnet,-0.1379995717131864,12.890093517403878,0.0045833018244866,-0.1469826782194568,-0.1290164652069159,3.671552989764274e-199,182937
