year,metric,estimate,se,moe90,ci90_low,ci90_high,ci95_low,ci95_high,n_obs,n_replicates
2015,raw_gap_pct,18.65074803241457,0.18082457882022016,0.29745643215926215,18.353291600255307,18.94820446457383,18.296331857926937,19.0051642069022,862464,80
2016,raw_gap_pct,18.426827731727474,0.18494700361435,0.30423782094560575,18.12258991078187,18.73106555267308,18.06433160464335,18.7893238588116,863800,80
2017,raw_gap_pct,17.8292328211125,0.1607397672055032,0.26441691705305276,17.56481590405945,18.093649738165553,17.514182877389715,18.14428276483529,878789,80
2018,raw_gap_pct,17.81108674747144,0.1726142942219588,0.2839505139951222,17.527136233476316,18.09503726146656,17.4727627307964,18.149410764146477,883019,80
2019,raw_gap_pct,16.954020397695512,0.17559489445031554,0.28885360137076904,16.665166796324744,17.24287399906628,16.609854404572893,17.29818639081813,880413,80
2021,raw_gap_pct,15.935248188469306,0.18874729218645478,0.3104892956467181,15.624758892822587,16.245737484116024,15.565303495783855,16.305192881154756,855177,80
2022,raw_gap_pct,17.09800939528991,0.1615538311305737,0.26575605220979376,16.832253343080115,17.363765447499706,16.781363886273986,17.414654904305834,900897,80
2023,raw_gap_pct,16.81146562386103,0.18820708187496732,0.3096006496843212,16.50186497417671,17.12106627354535,16.442579743386094,17.180351504335963,915284,80
