year,raw_gap_pct,male_mean,female_mean,m_full_female_coef,m_full_r_squared,m_full_pct_gap
2015,20.593111384409333,34.600324559016826,27.475041183211353,-0.2251876673476915,0.2876477355266535,-20.163362260088103
2016,19.64087671126233,35.37077422908553,28.42364407093189,-0.2264156734594643,0.2885630603546374,-20.26134196702386
2017,20.390874451313753,35.74447326762859,28.45586260034304,-0.2329364891445578,0.2998514318565954,-20.779611452692937
2018,18.878069991357908,36.026773970001095,29.225614364315977,-0.2320365725457807,0.2957500639885625,-20.708287622141608
2019,17.10921070450187,36.12455590136552,29.943929516135327,-0.2164552110889675,0.3036193795696519,-19.46313943022908
2020,17.513034575951405,38.33053976546729,31.617699083192203,-0.203309026818978,0.3034233722862841,-18.397397147045712
2021,17.64483987304982,37.42654528992456,30.822691303502904,-0.2140705731244367,0.3104283100200817,-19.270859006487985
2022,16.147623775501952,35.91352256576541,30.114342057315618,-0.1922265287942564,0.3001573274548117,-17.488006610429487
2023,15.765455908384055,36.866737275248035,31.054528065259017,-0.1858126863270894,0.3001366577904291,-16.957086885490035
