year,source,total_gap,explained,unexplained,explained_pct,unexplained_pct,female_coef,pct_gap,pre_period_total_gap_mean,pre_period_explained_mean,pre_period_unexplained_mean,total_gap_delta_vs_pre_mean,explained_delta_vs_pre_mean,unexplained_delta_vs_pre_mean,unexplained_pct_delta_vs_pre_mean
2015,acs,0.1794167872410432,0.0474869301446946,0.1319298570963486,26.467384058603606,73.5326159413964,-0.1531772225988658,-14.202234469286113,0.17337217210041675,0.04495369581491762,0.12841847628549907,0.006044615140626458,0.002533234329776979,0.003511380810849535,-0.5439161061047884
2016,acs,0.1731208323049138,0.0441119403873245,0.1290088919175892,25.48043456123825,74.51956543876175,-0.146803269535194,-13.653616965116388,0.17337217210041675,0.04495369581491762,0.12841847628549907,-0.0002513397955029584,-0.0008417554275931202,0.000590415632090141,0.4430333912605562
2017,acs,0.1707820535550808,0.0446188487834956,0.1261632047715851,26.126192919389613,73.87380708061039,-0.1467219613385569,-13.646596010999,0.17337217210041675,0.04495369581491762,0.12841847628549907,-0.0025901185453359454,-0.00033484703142202393,-0.00225527151391397,-0.20272496689079844
2018,acs,0.1701690153006292,0.0435970639441558,0.1265719513564734,25.619860270763755,74.38013972923625,-0.1460547877301927,-13.588964075749788,0.17337217210041675,0.04495369581491762,0.12841847628549907,-0.0032031567997875543,-0.0013566318707618208,-0.001846524929025678,0.30360768173505903
2019,acs,0.1691949385850266,0.0308475856598629,0.1383473529251637,18.231978992894582,81.76802100710542,-0.1492502024832504,-13.864642486766442,0.17337217210041675,0.04495369581491762,0.12841847628549907,-0.00417723351539015,-0.01410611015505472,0.00992887663966463,7.691488959604229
2021,acs,0.1639107817797138,0.0104514475603978,0.1534593342193159,6.376302673270133,93.62369732672988,-0.1532953381205728,-14.212367918652449,0.17337217210041675,0.04495369581491762,0.12841847628549907,-0.00946139032070295,-0.03450224825451982,0.02504085793381683,19.547165279228693
2022,acs,0.1653695748337238,0.0190450430475334,0.1463245317861904,11.516654781680884,88.48334521831912,-0.1480929759036976,-13.764906664270782,0.17337217210041675,0.04495369581491762,0.12841847628549907,-0.008002597266692946,-0.025908652767384223,0.017906055500691326,14.406813170817927
2023,acs,0.1623249571581171,0.0197854121849135,0.1425395449732035,12.188767846487751,87.81123215351225,-0.141944123888933,-13.23302628579519,0.17337217210041675,0.04495369581491762,0.12841847628549907,-0.011047214942299655,-0.02516828363000412,0.014121068687704436,13.734700106011061
