dataset,cohort_label,from_model,to_model,added_block,gap_before_pct,gap_after_pct,reduction_pp,n_obs_after
NLSY79,1979 cohort,D0,D1,demographics and education,44.43041732383308,46.004393546766956,-1.5739762229338723,2890
NLSY79,1979 cohort,D1,D2,skills and noncognitive traits,46.004393546766956,40.387227569441706,5.61716597732525,2890
NLSY79,1979 cohort,D2,D3,family background,40.387227569441706,40.35068035869289,0.03654721074881451,2890
NLSY79,1979 cohort,D3,D4,occupation sorting,40.35068035869289,33.32868373564515,7.021996623047741,2890
NLSY79,1979 cohort,D4,D5,family formation,33.32868373564515,33.150996193529366,0.17768754211578397,2890
NLSY79,1979 cohort,D5,D6,adult resources,33.150996193529366,34.09866492617171,-0.9476687326423416,2890
NLSY97,1997 cohort,D0,D1,demographics and education,34.19166821131512,39.875592328042906,-5.683924116727788,2486
NLSY97,1997 cohort,D1,D2,skills and school achievement,39.875592328042906,38.22075393447143,1.6548383935714739,2486
NLSY97,1997 cohort,D2,D3,family background,38.22075393447143,38.278762633090935,-0.05800869861950275,2486
NLSY97,1997 cohort,D3,D4,occupation sorting,38.278762633090935,38.278762633090935,0.0,2486
NLSY97,1997 cohort,D4,D5,family formation,38.278762633090935,38.488438670942884,-0.2096760378519491,2486
NLSY97,1997 cohort,D5,D6,adult resources,38.488438670942884,31.89018174396373,6.598256926979154,2486
