group,male_mean,female_mean,gap_dollars,gap_pct,n
MW,28.414619788875115,22.944032496085985,5.47058729278913,19.252720372246447,189496
NE,33.25038968001268,27.609791665501916,5.640598014510765,16.964005741867787,158458
SO,27.459299169871286,22.464198321095196,4.99510084877609,18.1909262063643,321188
WE,30.905663781459786,25.75405445125603,5.151609330203755,16.668819562109487,209647
