group,gap,se,ci_lower,ci_upper,n
construction,-0.045778968597845776,0.008896138848962606,-0.06321540074181248,-0.028342536453879068,52019
education_health,-0.20224885554811264,0.003224258946612097,-0.20856840308347235,-0.19592930801275293,223722
government,-0.16849104507204235,0.005059191971401419,-0.17840706133598913,-0.15857502880809557,50235
information_finance,-0.3034702503473338,0.0048423830237685995,-0.3129613210739203,-0.2939791796207474,79611
leisure_hospitality,-0.1328030522803713,0.004966034195601789,-0.1425364793037508,-0.12306962525699178,65685
manufacturing,-0.1984865977958751,0.0046134585154939236,-0.2075289764862432,-0.18944421910550702,99390
military,-0.02452690921553827,0.019518031288837504,-0.06278225054165978,0.01372843211058324,6405
natural_resources,-0.1778545578442951,0.011259384683734094,-0.19992295182441394,-0.15578616386417626,23085
other_services,-0.16403730654137005,0.0072048487367638,-0.1781588100654271,-0.149915803017313,32868
professional_services,-0.21513167924617715,0.004777530214537686,-0.22449563846667103,-0.20576772002568328,100528
trade,-0.22269404812339272,0.004113904739100089,-0.23075730141202888,-0.21463079483475656,107605
transport_utilities,-0.124553646926586,0.007288399652258291,-0.13883891024501227,-0.11026838360815976,37636
