group,male_mean,female_mean,gap_dollars,gap_pct,n
construction,24.671265722809654,24.289375954444612,0.38188976836504196,1.5479131579859249,52019
education_health,32.03404597342151,24.852314090489664,7.1817318829318495,22.419059674480383,223722
government,32.56772270946821,27.938179321731415,4.629543387736792,14.215127747912426,50235
information_finance,43.57418024079965,30.16379835879405,13.410381882005598,30.775982033160787,79611
leisure_hospitality,18.405698943360523,15.99845537900022,2.4072435643603036,13.07879462642557,65685
manufacturing,29.762858781276623,25.353822595376013,4.409036185900611,14.813886724733145,99390
military,26.360721579682433,25.67979481922453,0.6809267604579041,2.583111233884923,6405
natural_resources,28.815010809626457,24.92244568050926,3.892565129117198,13.508810233785434,23085
other_services,22.04963283295357,19.249534806276365,2.8000980266772046,12.69906872323247,32868
professional_services,37.10457907668115,29.046518190892716,8.058060885788432,21.71716021662842,100528
trade,24.776060412894715,19.67816253673072,5.097897876163994,20.575901863359967,107605
transport_utilities,25.059590858544464,21.99312678948085,3.0664640690636134,12.236688485351124,37636
