group,gap,se,ci_lower,ci_upper,n
aian,-0.16914255809564682,0.015612219090708417,-0.1997425075134353,-0.13854260867785834,7211
asian,-0.2227051256623425,0.006386058173336557,-0.23522179968208215,-0.21018845164260283,57788
black,-0.05817337510121557,0.004590307923234875,-0.06717037863075592,-0.04917637157167522,82758
hispanic,-0.14420097162066595,0.003447589945631837,-0.15095824791410434,-0.13744369532722756,135824
multiracial_other,-0.13974001633736044,0.010315654269197993,-0.1599586987049885,-0.11952133396973237,18277
nhpi,-0.1040428929339085,0.03385886780874239,-0.1704062738390436,-0.03767951202877341,1471
white_non_hispanic,-0.2049357166438835,0.0017819677920430518,-0.20842837351628787,-0.2014430597714791,575460
