model,female_coef,female_se,female_pvalue,r_squared,n_obs,pct_gap
SIPP0,-0.1447903637382675,0.004337697594847699,1.4797813878921036e-243,0.0060629739385549275,182658,-13.479634784036342
SIPP1,-0.14477487216788887,0.004336761103585363,1.311605956781682e-243,0.0065624578606812145,182658,-13.4782944373274
SIPP2,-0.10498778485056448,0.004684147754282297,4.122122430014822e-111,0.24523298255735815,182658,-9.966447974798164
SIPP3,-0.11557479862093045,0.004672161239969275,7.179962135016227e-135,0.25300941596050985,182658,-10.914606490086964
