group,male_mean,female_mean,gap_dollars,gap_pct,n
construction,25.335164874117527,24.83425683346506,0.5009080406524689,1.977125639960598,52843
education_health,33.17677083172502,25.65236396960196,7.524406862123062,22.679744512470474,224916
government,33.33005129004001,29.00911522206878,4.320936067971232,12.964084664527514,50398
information_finance,46.415684088458285,31.40778161513034,15.007902473327945,32.33368799375254,61854
leisure_hospitality,19.05706726495124,16.502852995691207,2.554214269260033,13.402976616226834,65792
manufacturing,30.66061929768771,25.99501800652003,4.665601291167679,15.216917981560595,99376
military,27.785748818646884,26.88132424410856,0.904424574538325,3.254994423369184,6325
natural_resources,29.256828026773718,25.73675789733471,3.5200701294390093,12.031619170122262,22894
other,43.492287914798474,30.65121758560541,12.841070329193066,29.524936361933317,16758
other_services,22.670556186220473,20.13236806790712,2.5381881183133537,11.195967568965534,33176
professional_services,38.25493883091608,30.13521652505958,8.119722305856502,21.22529156756741,103199
trade,25.360491877976145,20.365992194087887,4.994499683888257,19.694017402815593,106964
transport_utilities,25.906016796295503,22.15968806622094,3.7463287300745627,14.461230221275384,38524
