group,male_mean,female_mean,gap_dollars,gap_pct,n
construction,23.645512361571825,23.09928092135644,0.5462314402153865,2.3100850252799345,50124
education_health,31.292006411399477,24.0924342240996,7.199572187299879,23.00770392491394,218839
government,31.99339165542908,27.288907632415278,4.704484023013801,14.704549219668243,49081
information_finance,42.65555275193306,28.927630718352443,13.727922033580615,32.18320042273628,78441
leisure_hospitality,17.91456920677428,15.360182452585999,2.5543867541882825,14.258711581087628,64840
manufacturing,29.052073630668104,24.17498548095671,4.877088149711394,16.787401173880465,98825
military,25.64468734301062,26.694141346148943,-1.0494540031383224,-4.0922862076707975,6245
natural_resources,28.182443867879407,24.466514082902947,3.71592978497646,13.185264565404298,23506
other_services,21.2465591875401,18.140826603908895,3.1057325836312053,14.617579045234491,32213
professional_services,35.81716405761112,27.78183410330735,8.035329954303773,22.434299771414402,97044
trade,24.231894163889855,19.19917828582735,5.032715878062504,20.768974327901326,108567
transport_utilities,24.61231371582786,21.186387266947737,3.425926448880123,13.919562737724062,36075
