group,gap,se,ci_lower,ci_upper,n
construction,-0.031194839190362058,0.009179110084206266,-0.04918589495540634,-0.013203783425317778,50124
education_health,-0.2024672173100413,0.0032689625817376305,-0.20887438397024705,-0.19606005064983556,218839
government,-0.17074045921051131,0.005112704609100985,-0.18076136024434925,-0.16071955817667338,49081
information_finance,-0.31188998167995696,0.004941021304119162,-0.3215743834360305,-0.3022055799238834,78441
leisure_hospitality,-0.14177745132164143,0.005022568364845745,-0.15162168531673909,-0.13193321732654378,64840
manufacturing,-0.21048034022336912,0.004620980267159033,-0.21953746154700082,-0.2014232188997374,98825
military,0.032866664142346055,0.019352070391194822,-0.005063393824395794,0.07079672210908791,6245
natural_resources,-0.18352756578365031,0.011512927769204295,-0.20609290421129073,-0.1609622273560099,23506
other_services,-0.18126406674604206,0.007185407912521262,-0.19534746625458374,-0.16718066723750039,32213
professional_services,-0.21969309204979984,0.004904268110632816,-0.22930545754664017,-0.2100807265529595,97044
trade,-0.22131018117668913,0.0041008769308765085,-0.22934789996120708,-0.21327246239217118,108567
transport_utilities,-0.12891102973479082,0.0073287140292098586,-0.14327530923204215,-0.1145467502375395,36075
