year,source,male_mean,female_mean,gap_dollars,gap_pct,n_male,n_female,se,moe90,ci90_low,ci90_high,ci95_low,ci95_high,n_replicates
2015,acs,27.668460523348937,22.50808566669103,5.160374856657903,18.65074803241457,442375.0,420089.0,0.1808245788202201,0.2974564321592621,18.353291600255307,18.94820446457383,18.296331857926937,19.0051642069022,80
2016,acs,28.684288570667768,23.398684129679225,5.285604440988543,18.42682773172747,443750.0,420050.0,0.18494700361435,0.3042378209456057,18.12258991078187,18.73106555267308,18.06433160464335,18.7893238588116,80
2017,acs,29.521132102443495,24.25774072847065,5.263391373972844,17.829232821112534,451206.0,427583.0,0.1607397672055032,0.2644169170530527,17.56481590405945,18.093649738165553,17.514182877389715,18.14428276483529,80
2018,acs,30.491488525819435,25.060623053890435,5.430865471929,17.81108674747144,453411.0,429608.0,0.1726142942219588,0.2839505139951222,17.527136233476316,18.09503726146656,17.4727627307964,18.149410764146477,80
2019,acs,31.52328293029919,26.178819112272993,5.344463818026195,16.954020397695523,451878.0,428535.0,0.1755948944503155,0.288853601370769,16.665166796324744,17.24287399906628,16.609854404572893,17.29818639081813,80
2021,acs,37.265625177517066,31.327255316495012,5.938369861022053,15.935248188469316,441080.0,414097.0,0.1887472921864547,0.3104892956467181,15.624758892822587,16.245737484116024,15.565303495783857,16.305192881154756,80
2022,acs,37.178803891020166,30.82196850867712,6.356835382343046,17.09800939528993,462992.0,437905.0,0.1615538311305737,0.2657560522097937,16.832253343080115,17.363765447499706,16.781363886273986,17.414654904305834,80
2023,acs,38.49197222003104,32.02090754231438,6.4710646777166545,16.81146562386103,470000.0,445284.0,0.1882070818749673,0.3096006496843212,16.50186497417671,17.12106627354535,16.442579743386094,17.180351504335963,80
