year,source,model,female_coef,female_se,female_pvalue,r_squared,n_obs,pct_gap
2015,cps_asec,M0,-0.20044024801587373,0.006161841883932517,5.936970172263178e-230,0.01864385887178499,55700,-18.162961218073004
2015,cps_asec,M1,-0.2609263589163063,0.005528100310900198,0.0,0.22389765036522258,55700,-22.966235397458025
2015,cps_asec,M2,-0.2593421293347559,0.005511635610804966,0.0,0.22980706452526434,55700,-22.84409950869707
2015,cps_asec,M3,-0.22697298041465483,0.006016720070338012,1.5859989565637446e-307,0.28222868355053154,55700,-20.305768494986808
2015,cps_asec,M_full,-0.22518766734769152,0.006028998212544425,1.3630653312503367e-301,0.28764773552665357,55700,-20.163362260088114
2016,cps_asec,M0,-0.2050704237471492,0.006364613872036202,1.494665312803646e-225,0.019472396782400425,52278,-18.541005208513628
2016,cps_asec,M1,-0.2639715006689566,0.005722677405575908,0.0,0.22190328357410605,52278,-23.200457329927303
2016,cps_asec,M2,-0.2622108660641514,0.005695660323452544,0.0,0.23053905356470805,52278,-23.06512229465566
2016,cps_asec,M3,-0.22894082033776722,0.006181859809877468,2.2831232953030644e-296,0.28417128764997523,52278,-20.462439782818898
2016,cps_asec,M_full,-0.2264156734594643,0.006197024537087141,1.321580184971257e-288,0.2885630603546374,52278,-20.26134196702386
2017,cps_asec,M0,-0.2118339797356429,0.006319027656611657,8.101450250970444e-244,0.020825151946515352,52842,-19.09009867513006
2017,cps_asec,M1,-0.27386819231325105,0.005650606009394517,0.0,0.23124530201201676,52842,-23.956770052210075
2017,cps_asec,M2,-0.2727457964481479,0.005631759813117913,0.0,0.23806593710965873,52842,-23.871371528838058
2017,cps_asec,M3,-0.23486137273392643,0.006064791883066624,0.0,0.29335027473160624,52842,-20.931954809898677
2017,cps_asec,M_full,-0.23293648914455783,0.006067143407229282,0.0,0.29985143185659546,52842,-20.779611452692937
2018,cps_asec,M0,-0.21158802746226832,0.006431520291877714,6.5828049627968e-235,0.020720439473200236,51154,-19.070196253538107
2018,cps_asec,M1,-0.27656503030216373,0.005759284165899331,0.0,0.2299695266340832,51154,-24.161570043210233
2018,cps_asec,M2,-0.2743929456312108,0.005739112927144193,0.0,0.23700361807618375,51154,-23.99666352140295
2018,cps_asec,M3,-0.23405322955536323,0.006173684712075868,3.46106457501823e-310,0.29014128803938266,51154,-20.8680306820911
2018,cps_asec,M_full,-0.23203657254578078,0.006182226627042306,3.78406095570346e-304,0.2957500639885625,51154,-20.708287622141608
2019,cps_asec,M0,-0.18929576272442253,0.0063339241193813515,1.426666959154895e-194,0.017171742474151097,51123,-17.24582854957396
2019,cps_asec,M1,-0.258723731965513,0.0056358884221782545,0.0,0.2368854251391268,51123,-22.796371746971523
2019,cps_asec,M2,-0.25624366783667973,0.005611509113185666,0.0,0.24612482392048385,51123,-22.604664172647848
2019,cps_asec,M3,-0.21916556621183017,0.006048700710190905,7.451679943696059e-284,0.2979300294094498,51123,-19.68112737703408
2019,cps_asec,M_full,-0.21645521108896756,0.006049904140064909,6.601696725462898e-277,0.3036193795696519,51123,-19.46313943022909
2020,cps_asec,M0,-0.17988292124013497,0.006951753262997414,1.583545971857148e-146,0.015076990782492805,43742,-16.46319904632938
2020,cps_asec,M1,-0.24752303165923978,0.006200899166711709,0.0,0.2316272418859492,43742,-21.926776095503563
2020,cps_asec,M2,-0.2445107568333992,0.00616727231464647,0.0,0.24179995245828823,43742,-21.691243522241198
2020,cps_asec,M3,-0.20530853409790034,0.00662724650373214,1.8646722951597856e-208,0.2966502533919769,43742,-18.56039912929699
2020,cps_asec,M_full,-0.203309026818978,0.006624959025125168,1.2307581828555479e-204,0.30342337228628413,43742,-18.397397147045712
2021,cps_asec,M0,-0.1737342301667196,0.007018107121995586,2.205513344006014e-134,0.013532803508117919,44673,-15.947974709594337
2021,cps_asec,M1,-0.25016411760397395,0.006247133161588195,0.0,0.23635030142030056,44673,-22.132702135932046
2021,cps_asec,M2,-0.24794097182869673,0.00620830311583798,0.0,0.24737763879966146,44673,-21.959399214201515
2021,cps_asec,M3,-0.21638689943880496,0.006632286273800914,9.145564894697432e-231,0.30380049245999663,44673,-19.457637636468483
2021,cps_asec,M_full,-0.2140705731244367,0.006624708254058163,1.8544835419016284e-226,0.31042831002008175,44673,-19.270859006487985
2022,cps_asec,M0,-0.156234353934163,0.007076348755870855,2.028360522345542e-107,0.011240372167808266,42881,-14.464128979857849
2022,cps_asec,M1,-0.23395394555394788,0.006339159654038325,1.4942986667080718e-293,0.22485846257082454,42881,-20.860173753510146
2022,cps_asec,M2,-0.23309731619965618,0.006308839592112737,3.410956992363019e-294,0.23404078758659308,42881,-20.792351210010462
2022,cps_asec,M3,-0.1935619385614384,0.006717956561170731,8.008999832953906e-181,0.29185927186078386,42881,-17.59812039243758
2022,cps_asec,M_full,-0.19222652879425645,0.00670874094926659,7.220008440865058e-179,0.3001573274548117,42881,-17.488006610429487
2023,cps_asec,M0,-0.15199840021967323,0.0070394549328662145,7.759629198135575e-103,0.011045943833326577,41744,-14.101034506522481
2023,cps_asec,M1,-0.22701771421339478,0.00626367599018863,3.1856094395159324e-283,0.2331835913559922,41744,-20.309333440962305
2023,cps_asec,M2,-0.22502603681005995,0.006233129175639121,4.69385868151441e-281,0.24238848605056185,41744,-20.150457178507963
2023,cps_asec,M3,-0.18623425777044164,0.006685075599121206,3.0707378837516393e-169,0.29009805173425396,41744,-16.99208802797244
2023,cps_asec,M_full,-0.18581268632708947,0.0066660249401067195,1.961937895598564e-169,0.3001366577904291,41744,-16.957086885490035
