year,source,model,female_coef,female_se,female_pvalue,r_squared,n_obs,pct_gap
2015,acs,M0,-0.17941678724104265,0.0015155605178316192,0.0,0.015989661785313025,862464,-16.424250626343316
2015,acs,M1,-0.2411895218735745,0.001320394103810819,0.0,0.26680452364831564,862464,-21.43072936767698
2015,acs,M2,-0.23937176371190574,0.0013079797688388883,0.0,0.28089816410380475,862464,-21.28777954999157
2015,acs,M3,-0.14578567467757939,0.0014407306596283132,0.0,0.42208417301540946,862464,-13.56570660878913
2015,acs,M4,-0.1499716656061983,0.001448638676877506,0.0,0.42485943782403635,862464,-13.926763559068212
2015,acs,M5,-0.15317722259886582,0.0015045840343211297,0.0,0.42904075342169057,862464,-14.202234469286113
2016,acs,M0,-0.1731208323049123,0.0015206543102795464,0.0,0.014782825416838175,863800,-15.896401561188211
2016,acs,M1,-0.23586461172798698,0.0013235154725005397,0.0,0.26726292297785026,863800,-21.011239178782393
2016,acs,M2,-0.23387682445489155,0.0013111933898639339,0.0,0.28121060384183205,863800,-20.854070167776296
2016,acs,M3,-0.1387659906005844,0.0014380941603334824,0.0,0.42389478606443753,863800,-12.956830617457848
2016,acs,M4,-0.1432652946892168,0.001444936340190328,0.0,0.42683859500096555,863800,-13.347584585691619
2016,acs,M5,-0.146803269535194,0.001501162574055542,0.0,0.4314929789668631,863800,-13.653616965116388
2017,acs,M0,-0.17078205355508475,0.0015033540438847417,0.0,0.01447261454647919,878789,-15.69947165440022
2017,acs,M1,-0.236026803374997,0.0013096739984803606,0.0,0.26618635444673444,878789,-21.024049457107107
2017,acs,M2,-0.23396486236109096,0.0012969958246437094,0.0,0.280697304801403,878789,-20.861037703014816
2017,acs,M3,-0.13974609300575616,0.0014146893782159523,0.0,0.4239224915638117,878789,-13.042100043912653
2017,acs,M4,-0.14366326078580666,0.0014225124675775237,0.0,0.426345708774747,878789,-13.382062448248899
2017,acs,M5,-0.14672196133855692,0.0014767373830200492,0.0,0.4311622877780129,878789,-13.646596010999001
2018,acs,M0,-0.1701690153006199,0.0015039712852455047,0.0,0.014290964982864085,883019,-15.647776361675758
2018,acs,M1,-0.2340301751571489,0.0013119331104866558,0.0,0.26369563141863794,883019,-20.866206321129276
2018,acs,M2,-0.23171685250647903,0.0012983541007718443,0.0,0.2792181677187885,883019,-20.682932419676682
2018,acs,M3,-0.14010920227913057,0.0014125999592898807,0.0,0.42152403312167896,883019,-13.0736695318461
2018,acs,M4,-0.14395764468506417,0.0014195253169590597,0.0,0.4242030103775243,883019,-13.407557621582644
2018,acs,M5,-0.14605478773019273,0.0014743126325238195,0.0,0.42882991427401607,883019,-13.588964075749788
2019,acs,M0,-0.16919493858503315,0.0015362265923197747,0.0,0.013590516311361767,880413,-15.565570793956896
2019,acs,M1,-0.23306218491714412,0.0013554941917437555,0.0,0.24644656669917964,880413,-20.789568494843813
2019,acs,M2,-0.23053772684447865,0.0013412375205689266,0.0,0.2626062382842863,880413,-20.589352469440026
2019,acs,M3,-0.1354181304565954,0.0014680182235218221,0.0,0.3989925537412613,880413,-12.664933917847708
2019,acs,M4,-0.14598492969088117,0.001471182673641352,0.0,0.4041686998947207,880413,-13.582927359351105
2019,acs,M5,-0.1492502024832504,0.0015279603416573106,0.0,0.4084713856631761,880413,-13.864642486766442
2021,acs,M0,-0.16391078177972113,0.0016298744836562358,0.0,0.011688148715552571,855177,-15.118225148907783
2021,acs,M1,-0.22473897120796768,0.0014749278865425581,0.0,0.2061847231072803,855177,-20.127531831039224
2021,acs,M2,-0.2221813183809344,0.0014609996826564504,0.0,0.22158330201000243,855177,-19.922984317767412
2021,acs,M3,-0.1344642409338768,0.0016264439574619767,0.0,0.33438829957629657,855177,-12.581586167392933
2021,acs,M4,-0.15049743711911415,0.0016259956175815357,0.0,0.34244514390452985,855177,-13.97200652004108
2021,acs,M5,-0.1532953381205728,0.0016910383450514388,0.0,0.3455374987578934,855177,-14.212367918652447
2022,acs,M0,-0.1653695748337151,0.0015235012025798067,0.0,0.012909470384260713,900897,-15.241959818889605
2022,acs,M1,-0.2294310169263151,0.0013558372411283078,0.0,0.23298206362799412,900897,-20.50141926891268
2022,acs,M2,-0.22675024707490146,0.0013419893170432966,0.0,0.24897593588586908,900897,-20.28801595567683
2022,acs,M3,-0.13469351110956423,0.00145356852860458,0.0,0.3870602026397184,900897,-12.601626305099922
2022,acs,M4,-0.14747360789739286,0.0014554840226454753,0.0,0.39298857429428735,900897,-13.711478862410353
2022,acs,M5,-0.1480929759036976,0.0015130744516094524,0.0,0.39675079836147475,900897,-13.764906664270782
2023,acs,M0,-0.16232495715811474,0.0015092302495330716,0.0,0.012481021198675002,915284,-14.983510751951579
2023,acs,M1,-0.2277936980928844,0.0013427471298525916,0.0,0.2331556310376356,915284,-20.37114812685621
2023,acs,M2,-0.22530868813753566,0.0013292894908559733,0.0,0.24880725738550036,915284,-20.17302356842452
2023,acs,M3,-0.12895045119357376,0.0014295754222957103,0.0,0.39208436181992645,915284,-12.098248126454891
2023,acs,M4,-0.1412749182524332,0.0014313748637289705,0.0,0.3973046015134659,915284,-13.174941904893755
2023,acs,M5,-0.14194412388893307,0.0014865484109511295,0.0,0.4013781129966748,915284,-13.23302628579519
