calendar_year,month,employed_share,hourly_worker_n,hourly_gap_pct,weekly_worker_n,weekly_gap_pct
2023,1,0.4646781361616272,15795,15.337458139427914,15792,23.50015714376601
2023,2,0.467057540223616,15795,15.807577789877477,15770,24.86676578240166
2023,3,0.47011745424747337,15809,17.100495792931834,15789,25.61160412416822
2023,4,0.46889113951769634,15615,16.29524886571759,15602,24.13738102576529
2023,5,0.4700819559794973,15537,14.409522399232799,15529,23.47180765856881
2023,6,0.4696404062585781,15316,14.750407536733773,15271,23.406763884716593
2023,7,0.468863361547763,15094,14.351371316088024,15016,22.482985115773946
2023,8,0.4715433729634522,15057,14.014819395038375,15005,22.696856470696698
2023,9,0.46946365113908706,14880,13.382805129842396,14861,22.746349133036794
2023,10,0.4705898566703418,14837,14.607724473315029,14809,22.986546243551658
2023,11,0.46990012691055566,14670,14.695128319437355,14634,23.43802729370469
2023,12,0.46863091622024633,14532,16.013466036178386,14493,25.991651762498048
