year,source,male_mean,female_mean,gap_dollars,gap_pct,n_male,n_female
2015,cps_asec,34.600324559016826,27.475041183211353,7.125283375805473,20.593111384409333,29086,26614
2016,cps_asec,35.37077422908553,28.42364407093189,6.947130158153637,19.64087671126233,27268,25010
2017,cps_asec,35.74447326762859,28.45586260034304,7.288610667285553,20.390874451313753,27534,25308
2018,cps_asec,36.026773970001095,29.225614364315977,6.801159605685118,18.878069991357908,26602,24552
2019,cps_asec,36.12455590136552,29.943929516135327,6.180626385230191,17.10921070450187,26589,24534
2020,cps_asec,38.33053976546729,31.617699083192203,6.71284068227509,17.513034575951405,22603,21139
2021,cps_asec,37.42654528992456,30.822691303502904,6.603853986421658,17.64483987304982,23259,21414
2022,cps_asec,35.91352256576541,30.114342057315618,5.799180508449794,16.147623775501952,22395,20486
2023,cps_asec,36.866737275248035,31.054528065259017,5.8122092099890175,15.765455908384055,21637,20107
