year,model,employment_female_prob_pp,female_conditional_log_earnings_coef,female_conditional_earnings_pct,combined_expected_earnings_male,combined_expected_earnings_female,combined_expected_earnings_gap_dollars,combined_expected_earnings_gap_pct,observed_total_earnings_gap_pct,observed_worker_hourly_gap_pct,ipw_worker_hourly_gap_pct,employment_model_female_coef,n_total,n_employed
2015,S0,1.5652251064090297,-0.3669408653206066,-30.714938466799747,70025.50994598705,49327.00758213938,20698.50236384768,29.558517145841712,31.520016142905902,22.289229785411763,22.289229785411763,0.306313774306309,64774,59921
2015,S1,1.2725937936015057,-0.4353527499225357,-35.296361521748906,71593.66388616983,46847.378858388096,24746.285027781734,34.56490935724009,31.520016142905902,22.289229785411763,21.962349363706945,0.2532664528151916,64774,59921
2015,S2,1.3686399377948442,-0.4330977316069176,-35.15028899568201,71501.03270378843,46929.079579165074,24571.953124623353,34.36587164610481,31.520016142905902,22.289229785411763,21.94929229923105,0.2740538962437347,64774,59921
2016,S0,1.2659011642014772,-0.3600241801323886,-30.23405436309411,72540.3307723415,51288.27215497493,21252.058617366572,29.296886836735585,30.259162234162535,21.121814790644898,21.121814790644912,0.2614180601776817,60235,56021
2016,S1,0.9838229848245276,-0.4279855552570071,-34.81791698849007,74567.59602949982,49026.33749383869,25541.258535661134,34.25249021781085,30.259162234162535,21.121814790644898,20.897216199318,0.2062405184278519,60235,56021
2016,S2,1.085801182222341,-0.4245220892570258,-34.591769659443486,74421.71315239563,49141.58213358149,25280.131018814143,33.968757165059124,30.259162234162535,21.121814790644898,20.899215718619875,0.2288322399814493,60235,56021
2017,S0,1.2413190835793284,-0.3725044333333229,-31.099340304479615,74059.07214066888,51696.38798085397,22362.68415981491,30.19573904104402,31.373123725362568,21.77113900569744,21.771139005697457,0.2771391325452986,60511,56460
2017,S1,0.9842034581349336,-0.4420207241495114,-35.726368484598595,76003.77809426919,49281.17052587174,26722.60756839745,35.15957790315739,31.373123725362568,21.77113900569744,21.55226541271811,0.2223663147751282,60511,56460
2017,S2,1.12822658392912,-0.4402036344723646,-35.60947135814273,75928.4053933,49381.3164916952,26547.088901604795,34.963316777290494,31.373123725362568,21.77113900569744,21.56540500420662,0.2564097447328091,60511,56460
2018,S0,1.3756232643649555,-0.3502365535951591,-29.547858706760167,73806.50693447537,52750.854115541086,21055.652818934286,28.52817955146864,28.48747660024793,21.7869382137987,21.786938213798702,0.3395932571234132,58232,54604
