sample,outcome,model,term,coef,se,pvalue,n_obs,r_squared
childless_25_44,log_annual_earnings_real,fertility_risk,const,3.484756605079748,0.12107869775819853,4.2129703538518964e-182,1373644,0.1934966198210969
childless_25_44,log_annual_earnings_real,fertility_risk,female,3.484753518595423,0.12226899893615936,1.2946600585520508e-178,1373644,0.1934966198210969
childless_25_44,log_annual_earnings_real,fertility_risk,age,0.1525351427466281,0.0018335309692921711,0.0,1373644,0.1934966198210969
childless_25_44,log_annual_earnings_real,fertility_risk,age_sq,-0.0018894160694575834,2.6391242492726706e-05,0.0,1373644,0.1934966198210969
childless_25_44,log_annual_earnings_real,fertility_risk,recent_marriage,0.06849684941168299,0.06208794216631692,0.26993050370320887,1373644,0.1934966198210969
childless_25_44,log_annual_earnings_real,fertility_risk,fertility_risk_quartile_Q2,-0.06424323906515052,0.0028511226762421497,2.084689584306041e-112,1373644,0.1934966198210969
childless_25_44,log_annual_earnings_real,fertility_risk,fertility_risk_quartile_Q3,-0.07440986313627096,0.0039248418220639205,3.833007346114503e-80,1373644,0.1934966198210969
childless_25_44,log_annual_earnings_real,fertility_risk,fertility_risk_quartile_Q4,-0.09224128366520756,0.005785346819293546,3.1761083013342744e-57,1373644,0.1934966198210969
childless_25_44,log_annual_earnings_real,fertility_risk,education_level_bachelors,0.39739115066618785,0.0030358075746498565,0.0,1373644,0.1934966198210969
childless_25_44,log_annual_earnings_real,fertility_risk,education_level_doctorate,0.7368286382677804,0.006125587351288944,0.0,1373644,0.1934966198210969
childless_25_44,log_annual_earnings_real,fertility_risk,education_level_hs_diploma,-0.34064926043158755,0.003529582413652574,0.0,1373644,0.1934966198210969
childless_25_44,log_annual_earnings_real,fertility_risk,education_level_less_than_hs,-0.6458980806440998,0.00530449826047472,0.0,1373644,0.1934966198210969
childless_25_44,log_annual_earnings_real,fertility_risk,education_level_masters,0.537770221941473,0.0035723662557540174,0.0,1373644,0.1934966198210969
childless_25_44,log_annual_earnings_real,fertility_risk,education_level_professional,0.7982618805550254,0.005316420391183385,0.0,1373644,0.1934966198210969
childless_25_44,log_annual_earnings_real,fertility_risk,education_level_some_college,-0.11750058749518444,0.0032305995213736585,1.6747122429005444e-289,1373644,0.1934966198210969
childless_25_44,log_annual_earnings_real,fertility_risk,race_ethnicity_asian,0.09164673700961923,0.01168004775688021,4.2833492084497485e-15,1373644,0.1934966198210969
childless_25_44,log_annual_earnings_real,fertility_risk,race_ethnicity_black,0.08599639641707635,0.011534843404564043,8.967579200411439e-14,1373644,0.1934966198210969
childless_25_44,log_annual_earnings_real,fertility_risk,race_ethnicity_hispanic,0.1314892900675136,0.011446315199674362,1.5299119248253836e-30,1373644,0.1934966198210969
childless_25_44,log_annual_earnings_real,fertility_risk,race_ethnicity_multiracial_other,0.15467797123239785,0.011968736470505587,3.334089724499074e-38,1373644,0.1934966198210969
childless_25_44,log_annual_earnings_real,fertility_risk,race_ethnicity_nhpi,0.13776505997425761,0.021723754298248694,2.2734581061407926e-10,1373644,0.1934966198210969
