stratifier,stratum,metric,value,n_obs
job_rigidity_quartile,Q2,male_p90_p10,1.8865325440716254,2415807
job_rigidity_quartile,Q2,female_p90_p10,1.85238405544739,2415807
job_rigidity_quartile,Q2,male_p95_p50,1.2771756112427548,2415807
job_rigidity_quartile,Q2,female_p95_p50,1.1580744357738268,2415807
job_rigidity_quartile,Q2,male_top10_share,0.1329662577727774,2415807
job_rigidity_quartile,Q2,female_top10_share,0.06192741555686234,2415807
job_rigidity_quartile,Q2,male_top5_share,0.06774228368817763,2415807
job_rigidity_quartile,Q2,female_top5_share,0.028301189444381716,2415807
job_rigidity_quartile,Q3,male_p90_p10,1.8416338564548673,2415807
job_rigidity_quartile,Q3,female_p90_p10,1.5466035710761128,2415807
job_rigidity_quartile,Q3,male_p95_p50,1.1909125427128595,2415807
job_rigidity_quartile,Q3,female_p95_p50,1.0719325211994524,2415807
job_rigidity_quartile,Q3,male_top10_share,0.16223632701708035,2415807
job_rigidity_quartile,Q3,female_top10_share,0.06385838570805691,2415807
job_rigidity_quartile,Q3,male_top5_share,0.0816366775101808,2415807
job_rigidity_quartile,Q3,female_top5_share,0.03162767253478701,2415807
job_rigidity_quartile,Q4,male_p90_p10,1.5192362744650607,2415807
job_rigidity_quartile,Q4,female_p90_p10,1.623340847637891,2415807
job_rigidity_quartile,Q4,male_p95_p50,0.971548015162333,2415807
job_rigidity_quartile,Q4,female_p95_p50,1.1492923807554218,2415807
job_rigidity_quartile,Q4,male_top10_share,0.10710074479491266,2415807
job_rigidity_quartile,Q4,female_top10_share,0.07254928862997423,2415807
job_rigidity_quartile,Q4,male_top5_share,0.0522646618108929,2415807
job_rigidity_quartile,Q4,female_top5_share,0.04229292248260118,2415807
job_rigidity_quartile,missing,male_p90_p10,1.4971679865851995,71715
job_rigidity_quartile,missing,female_p90_p10,1.3173014959376506,71715
job_rigidity_quartile,missing,male_p95_p50,0.9144056689862277,71715
job_rigidity_quartile,missing,female_p95_p50,0.8391430186408111,71715
job_rigidity_quartile,missing,male_top10_share,0.12328029177191956,71715
job_rigidity_quartile,missing,female_top10_share,0.060780409680342096,71715
job_rigidity_quartile,missing,male_top5_share,0.06336700385722145,71715
job_rigidity_quartile,missing,female_top5_share,0.027722938351439116,71715
couple_type,same_sex,male_p90_p10,1.8170772772123454,66545
couple_type,same_sex,female_p90_p10,1.6539013373621145,66545
couple_type,same_sex,male_p95_p50,1.3370007301254194,66545
couple_type,same_sex,female_p95_p50,1.1532511433389363,66545
couple_type,same_sex,male_top10_share,0.13610316945976234,66545
couple_type,same_sex,female_top10_share,0.06783813215636632,66545
couple_type,same_sex,male_top5_share,0.06959235932553934,66545
couple_type,same_sex,female_top5_share,0.032087920860007196,66545
couple_type,unpartnered,male_p90_p10,1.8221494992396758,9668399
couple_type,unpartnered,female_p90_p10,1.7483436890926165,9668399
couple_type,unpartnered,male_p95_p50,1.2339334136681037,9668399
couple_type,unpartnered,female_p95_p50,1.1637955864123817,9668399
couple_type,unpartnered,male_top10_share,0.12209059674873282,9668399
couple_type,unpartnered,female_top10_share,0.07574906515142103,9668399
couple_type,unpartnered,male_top5_share,0.06266345692876972,9668399
couple_type,unpartnered,female_top5_share,0.036173196673564195,9668399
