year,model,female_coef,female_se,female_pvalue,r_squared,n_obs,controls
2018,M8_reproductive_x_job_context,-0.12247941067248702,0.036982660475795,0.000926993965053436,0.41163333454337636,884031,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5 + recent_birth + recent_marriage + has_own_child + own_child_under6 + own_child_6_17_only + C(couple_type) + C(reproductive_stage) + autonomy + schedule_unpredictability + time_pressure + coordination_responsibility + physical_proximity + job_rigidity + female_x_recent_birth + female_x_own_child_under6 + female_x_recent_marriage + female_x_same_sex_couple_household + female_x_autonomy + female_x_job_rigidity + female_x_own_child_under6_x_job_rigidity
2019,M0,-0.16648581847450064,0.0016185987367152,0.0,0.011811482839794607,885141,female
2019,M1,-0.23139029939668623,0.0014449190640869788,0.0,0.22725757206873698,885141,female + age + age_sq + C(race_ethnicity) + C(education_level)
2019,M2,-0.22881859427447263,0.0014312388331061525,0.0,0.24222699314017848,885141,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips)
2019,M3,-0.1322338466761276,0.0015824056427736484,0.0,0.3695796301358696,885141,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker)
2019,M4,-0.1449921221816975,0.001584402774694994,0.0,0.37604421786343445,885141,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way
2019,M5,-0.14783072342754286,0.0016459823059552295,0.0,0.380247888741983,885141,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5
2019,M6_reproductive,-0.11230657507941444,0.0018905677214354063,0.0,0.3816069709174318,885141,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5 + recent_birth + recent_marriage + has_own_child + own_child_under6 + own_child_6_17_only + C(couple_type) + C(reproductive_stage)
2019,M7_onet_context,-0.11234669112840948,0.0018938138892321467,0.0,0.3818629070948202,881616,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5 + recent_birth + recent_marriage + has_own_child + own_child_under6 + own_child_6_17_only + C(couple_type) + C(reproductive_stage) + autonomy + schedule_unpredictability + time_pressure + coordination_responsibility + physical_proximity + job_rigidity
2019,M8_reproductive_x_job_context,-0.15955538589486254,0.03920647800177331,4.709439905042438e-05,0.3828515050968523,881616,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5 + recent_birth + recent_marriage + has_own_child + own_child_under6 + own_child_6_17_only + C(couple_type) + C(reproductive_stage) + autonomy + schedule_unpredictability + time_pressure + coordination_responsibility + physical_proximity + job_rigidity + female_x_recent_birth + female_x_own_child_under6 + female_x_recent_marriage + female_x_same_sex_couple_household + female_x_autonomy + female_x_job_rigidity + female_x_own_child_under6_x_job_rigidity
2021,M0,-0.1656575070154187,0.0017265606278409212,0.0,0.010578246368047162,861048,female
2021,M1,-0.22749346784142666,0.0015782553788811294,0.0,0.18913189236596395,861048,female + age + age_sq + C(race_ethnicity) + C(education_level)
2021,M2,-0.2248965525638744,0.0015649453773317402,0.0,0.20323857560834668,861048,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips)
2021,M3,-0.13565062117562332,0.0017553821691164242,0.0,0.30809096727306784,861048,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker)
