model,employment_female_prob_pp,female_conditional_log_earnings_coef,female_conditional_earnings_pct,combined_expected_earnings_male,combined_expected_earnings_female,combined_expected_earnings_gap_dollars,combined_expected_earnings_gap_pct,observed_total_earnings_gap_pct,observed_worker_hourly_gap_pct,ipw_worker_hourly_gap_pct,employment_model_female_coef,n_total,n_employed
S0,1.2413190835793284,-0.3725044333333229,-31.099340304479618,74059.07214066888,51696.38798085397,22362.68415981491,30.19573904104402,31.373123725362568,21.77113900569744,21.771139005697457,0.2771391325452986,60511,56460
S1,0.9842034581349336,-0.44202072414951143,-35.726368484598595,76003.77809426919,49281.17052587174,26722.60756839745,35.15957790315739,31.373123725362568,21.77113900569744,21.552265412718114,0.2223663147751282,60511,56460
S2,1.12822658392912,-0.44020363447236466,-35.60947135814273,75928.4053933,49381.3164916952,26547.088901604795,34.963316777290494,31.373123725362568,21.77113900569744,21.56540500420662,0.25640974473280914,60511,56460
