group,gap,se,ci_lower,ci_upper,n
construction,-0.053863923062727824,0.008059622465102202,-0.06966078309432813,-0.03806706303112751,55525
education_health,-0.18531802650246307,0.0031921431705207483,-0.19157462711668374,-0.1790614258882424,237921
government,-0.14028417318529934,0.005035128965434487,-0.15015302595755095,-0.13041532041304774,52932
information_finance,-0.2859699331363569,0.005934628965027441,-0.29760180590781066,-0.2743380603649031,62095
leisure_hospitality,-0.1275378571238431,0.005570949693827361,-0.13845691852374473,-0.11661879572394147,58928
manufacturing,-0.14906094659370878,0.004681213143799127,-0.15823612435555506,-0.1398857688318625,99359
military,-0.014022523315657395,0.01701585572737696,-0.047373600541316244,0.01932855391000145,8036
natural_resources,-0.15861922198612818,0.010676981421554665,-0.17954610557237533,-0.13769233839988104,23563
other,-0.3513115314785252,0.009568115029247783,-0.37006503693585086,-0.3325580260211995,22784
other_services,-0.13781758365809993,0.007339510205849178,-0.15220302366156432,-0.12343214365463553,33213
professional_services,-0.19458428415047777,0.004462913697781133,-0.20333159499812878,-0.18583697330282675,118949
trade,-0.19769659032126147,0.0044259294829835935,-0.20637141210790932,-0.1890217685346136,100334
transport_utilities,-0.17852290870556364,0.007174488033156861,-0.19258490525055108,-0.1644609121605762,41645
