group,male_mean,female_mean,gap_dollars,gap_pct,n
construction,31.589678694192806,30.21122832399693,1.3784503701958748,4.36360997381489,55525
education_health,40.14299910130609,31.726232053052293,8.416767048253796,20.9669612053972,237921
government,38.70360391653741,34.07589534677667,4.627708569760742,11.956789811460938,52932
information_finance,57.47781663656709,40.869801079235906,16.608015557331186,28.894652805522973,62095
leisure_hospitality,24.749699544123704,21.860042779194277,2.889656764929427,11.675522604942149,58928
manufacturing,37.99484618666022,33.6782486466826,4.3165975399776215,11.361008066123334,99359
military,33.76575263371046,33.47317706214761,0.29257557156284975,0.8664861545859732,8036
natural_resources,36.38584971858151,31.905014522427773,4.480835196153738,12.314774097100353,23563
other,55.906525996648945,36.72401866362585,19.182507333023096,34.31174981999937,22784
other_services,29.012382966500997,25.832414152038538,3.179968814462459,10.960729486213504,33213
professional_services,50.283378809866875,40.454998086161574,9.828380723705301,19.54598309884602,118949
trade,31.73228018126021,25.719552488374433,6.012727692885779,18.948300149059726,100334
transport_utilities,31.24014416943474,26.147118653876227,5.093025515558512,16.30282334145408,41645
