leaderboard,rank,outcome,occupation_code,n_obs,raw_variance_ratio,residual_variance_ratio,female_p90_p10,male_p90_p10,female_top10_share,male_top10_share,female_top5_share,male_top5_share,raw_variance_gap_from_parity,residual_variance_gap_from_parity,top10_share_gap_pp,top5_share_gap_pp
female_more_variable_raw,1,log_annual_earnings_real,500,2603,7.980971828918172,15.970918276522442,2.6275548934936523,0.0,0.700864043987694,0.0570717359851333,0.34161811874059045,0.031172711483040252,6.980971828918172,14.970918276522442,0.6437923080025607,0.3104454072575502
female_more_variable_raw,2,log_annual_earnings_real,7260,5011,4.756679754718989,4.4052415736279675,6.214608192443848,1.8020315170288086,0.1273669523619693,0.09965705865974443,0.07409806657364959,0.0495232890547582,3.7566797547189887,3.4052415736279675,0.02770989370222486,0.024574777518891387
female_more_variable_raw,3,log_annual_earnings_real,6700,2085,4.068070325934855,4.066872456711378,3.7889881134033203,1.4531641006469727,0.035959463877084014,0.1016394883741374,0.0,0.05089007076612017,3.0680703259348547,3.066872456711378,-0.06568002449705339,-0.05089007076612017
female_more_variable_raw,4,log_annual_earnings_real,4750,7017,3.8151019650427815,5.153122128679118,1.911630630493164,0.7670021057128906,0.04320004445020651,0.7767637459728278,0.04320004445020651,0.7767637459728278,2.8151019650427815,4.153122128679118,-0.7335637015226213,-0.7335637015226213
female_more_variable_raw,5,log_annual_earnings_real,6540,645,3.7510388377400035,3.0678557149824197,4.064051151275635,1.7917585372924805,0.04184630991630738,0.10666394738183857,0.04184630991630738,0.05622546270330903,2.7510388377400035,2.0678557149824197,-0.06481763746553118,-0.01437915278700165
female_more_variable_raw,6,log_annual_earnings_real,8220,13392,3.6991348842664924,4.035724285201926,1.5260562896728516,0.5709514617919922,0.1349,0.09738041113972513,0.06736875,0.04900843579790959,2.6991348842664924,3.035724285201926,0.03751958886027486,0.018360314202090416
female_more_variable_raw,7,log_annual_earnings_real,7830,719,2.5480784571462527,2.358347959053748,2.3494205474853516,1.5686159133911133,0.0926623536155925,0.10804526146184268,0.03644255179755958,0.05659513695620331,1.5480784571462527,1.3583479590537482,-0.015382907846250182,-0.02015258515864373
female_more_variable_raw,8,log_annual_earnings_real,7410,9850,2.485116935783786,2.303153495215359,2.147085189819336,1.5755176544189453,0.05263439995712065,0.10128829045836277,0.007718282682103232,0.051350959634518266,1.4851169357837861,1.303153495215359,-0.048653890501242116,-0.04363267695241503
female_more_variable_raw,9,log_annual_earnings_real,8730,842,2.4526967889631206,3.0956298553702886,2.720478057861328,1.7160472869873047,0.01489599055056106,0.11861547252986476,0.01489599055056106,0.061593512748646224,1.4526967889631206,2.0956298553702886,-0.1037194819793037,-0.046697522198085165
female_more_variable_raw,10,log_annual_earnings_real,7925,1182,2.2548372657049462,1.9604388193841842,1.8454971313476562,1.2447948455810547,0.06500519210799585,0.10865918808598106,0.02699896157840083,0.05444109405753401,1.2548372657049462,0.9604388193841842,-0.04365399597798521,-0.02744213247913318
female_more_variable_raw,11,log_annual_earnings_real,1410,17222,2.2033993029900993,2.0143711338396444,1.2373857498168945,0.6483116149902344,0.15566849177717268,0.09694642026284189,0.07385308024260535,0.04865361094162258,1.2033993029900993,1.0143711338396444,0.05872207151433079,0.025199469300982776
