suite,outcome,stratifier,stratum,metric,value,n_obs
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,420,female_p90_p10,1.3054530620574951,31255
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,420,male_p95_p50,0.9895875453948975,31255
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,420,female_p95_p50,0.9087891578674316,31255
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,420,male_top10_share,0.14406841778482976,31255
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,420,female_top10_share,0.08319122491733033,31255
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,420,male_top5_share,0.07417927115311648,31255
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,420,female_top5_share,0.04081803160369847,31255
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,110,raw_variance_ratio,1.0084616070661674,51331
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,110,residual_variance_ratio,1.0111809028961576,51331
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,110,male_p90_p10,1.3475568294525146,51331
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,110,female_p90_p10,1.385861873626709,51331
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,110,male_p95_p50,0.9462792873382568,51331
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,110,female_p95_p50,0.8104591369628906,51331
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,110,male_top10_share,0.11298069951519302,51331
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,110,female_top10_share,0.06688909490079004,51331
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,110,male_top5_share,0.058173112356498226,51331
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,110,female_top5_share,0.029599248387349147,51331
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,4700,raw_variance_ratio,0.9647369434791637,185380
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,4700,residual_variance_ratio,0.968485120711663,185380
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,4700,male_p90_p10,1.5090246200561523,185380
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,4700,female_p90_p10,1.4395389556884766,185380
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,4700,male_p95_p50,1.143040657043457,185380
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,4700,female_p95_p50,1.0691907405853271,185380
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,4700,male_top10_share,0.12720152874822266,185380
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,4700,female_top10_share,0.06961220026146073,185380
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,4700,male_top5_share,0.06375340160069291,185380
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,4700,female_top5_share,0.03496552370517961,185380
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,3255,raw_variance_ratio,0.899425092618713,250147
