suite,outcome,stratifier,stratum,n_obs,raw_variance_ratio,residual_variance_ratio,female_top10_share,male_top10_share,female_top5_share,male_top5_share,top10_share_gap_pp,top5_share_gap_pp,female_to_male_top10_ratio,female_to_male_top5_ratio
V1_raw_residual,log_annual_earnings_real,survey_year,2013,871729,1.06570132523465,1.1602953518174663,0.0606867789209719,0.1395482484327394,0.0298629395162068,0.0787583425949441,-0.0788614695117675,-0.0488954030787373,0.43488026257973567,0.3791717617750358
V1_raw_residual,log_annual_earnings_real,survey_year,2014,863334,1.2072316809573325,1.2366147898371354,0.0599013642670194,0.1665071967941921,0.0224717936919707,0.0730982029749745,-0.1066058325271727,-0.050626409283003805,0.3597524036216842,0.30741923573229313
V1_raw_residual,log_annual_earnings_real,survey_year,2015,866806,1.1097429927820424,1.2049553232928267,0.0614972036187089,0.1387090767371928,0.0273843458430641,0.0711582963714137,-0.0772118731184839,-0.043773950528349606,0.4433538530086642,0.3848370076221381
V1_raw_residual,log_annual_earnings_real,survey_year,2016,868130,1.0888541236357203,1.17650715654662,0.065691214808537,0.1443819227999812,0.0297458410719759,0.075164427358399,-0.07869070799144419,-0.0454185862864231,0.4549822687951179,0.3957435999630755
V1_raw_residual,log_annual_earnings_real,survey_year,2017,883126,1.1088989604040889,1.1984720421490949,0.0718870690734897,0.1510254625968685,0.029552555319357,0.0719343863672307,-0.0791383935233788,-0.04238183104787369,0.4759930400966722,0.4108265436294804
V1_raw_residual,log_annual_earnings_real,survey_year,2018,887168,1.1128511319868726,1.1992604603899677,0.0637520555199183,0.1353388108226354,0.0304849955338636,0.0739576562690547,-0.0715867553027171,-0.043472660735191106,0.47105523635394453,0.4121952624209794
V1_raw_residual,log_annual_earnings_real,survey_year,2019,885100,1.1106869313878784,1.1843156739613714,0.0659041492403778,0.1362413463417412,0.0295592421123958,0.070226913630119,-0.07033719710136341,-0.0406676715177232,0.48373090115438977,0.42091045418972245
V1_raw_residual,log_annual_earnings_real,survey_year,2021,860996,1.0981217199415894,1.154953923338987,0.0672706319992447,0.1348438268257953,0.0298703719496909,0.0686628399756083,-0.0675731948265506,-0.038792468025917404,0.4988780990779178,0.4350296602980886
V1_raw_residual,log_annual_earnings_real,survey_year,2022,905062,1.1429160312313345,1.2087978193061395,0.0679089331946933,0.1327946563232381,0.0313861401858803,0.0691422173406558,-0.06488572312854482,-0.037756077154775504,0.5113830260563709,0.4539359799707373
V1_raw_residual,log_annual_earnings_real,survey_year,2023,919918,1.117863504935683,1.174769972966664,0.0670258807900277,0.131172526006584,0.0318704418693801,0.0713892442230724,-0.06414664521655629,-0.039518802353692296,0.5109749947688241,0.44643198308408266
