suite,outcome,metric,regime,weighted_mean_value,n_obs_total
V1_raw_residual,log_annual_earnings_real,female_p90_p10,post_2020,2.2778879434703594,3608856.0
V1_raw_residual,log_annual_earnings_real,female_p90_p10,pre_2020,2.340729083369453,6125393.0
V1_raw_residual,log_annual_earnings_real,female_p95_p50,post_2020,1.170050225492335,3608856.0
V1_raw_residual,log_annual_earnings_real,female_p95_p50,pre_2020,1.1704190100867475,6125393.0
V1_raw_residual,log_annual_earnings_real,female_top10_share,post_2020,0.06800743427332746,3608856.0
V1_raw_residual,log_annual_earnings_real,female_top10_share,pre_2020,0.06421267251889055,6125393.0
V1_raw_residual,log_annual_earnings_real,female_top5_share,post_2020,0.031153907294466224,3608856.0
V1_raw_residual,log_annual_earnings_real,female_top5_share,pre_2020,0.028455325872131867,6125393.0
V1_raw_residual,log_annual_earnings_real,male_p90_p10,post_2020,2.075871489609487,3608856.0
V1_raw_residual,log_annual_earnings_real,male_p90_p10,pre_2020,2.147067234427665,6125393.0
V1_raw_residual,log_annual_earnings_real,male_p95_p50,post_2020,1.247275333378411,3608856.0
V1_raw_residual,log_annual_earnings_real,male_p95_p50,pre_2020,1.2250790668222116,6125393.0
V1_raw_residual,log_annual_earnings_real,male_top10_share,post_2020,0.1333033442177068,3608856.0
V1_raw_residual,log_annual_earnings_real,male_top10_share,pre_2020,0.14448145749244828,6125393.0
V1_raw_residual,log_annual_earnings_real,male_top5_share,post_2020,0.06958616454388938,3608856.0
V1_raw_residual,log_annual_earnings_real,male_top5_share,pre_2020,0.07346383520407282,6125393.0
V1_raw_residual,log_annual_earnings_real,raw_variance_ratio,post_2020,1.1172286265291642,3608856.0
V1_raw_residual,log_annual_earnings_real,raw_variance_ratio,pre_2020,1.1147200091302167,6125393.0
V1_raw_residual,log_annual_earnings_real,residual_variance_ratio,post_2020,1.1760976921440818,3608856.0
V1_raw_residual,log_annual_earnings_real,residual_variance_ratio,pre_2020,1.1942880219000054,6125393.0
V1_raw_residual,log_hourly_wage_real,female_p90_p10,post_2020,1.7132948717665148,3608980.0
V1_raw_residual,log_hourly_wage_real,female_p90_p10,pre_2020,1.6960771459465902,6125649.0
V1_raw_residual,log_hourly_wage_real,female_p95_p50,post_2020,1.1930291707006677,3608980.0
V1_raw_residual,log_hourly_wage_real,female_p95_p50,pre_2020,1.118846695374734,6125649.0
V1_raw_residual,log_hourly_wage_real,female_top10_share,post_2020,0.07824513022658498,3608980.0
V1_raw_residual,log_hourly_wage_real,female_top10_share,pre_2020,0.0747227639793711,6125649.0
V1_raw_residual,log_hourly_wage_real,female_top5_share,post_2020,0.03745390107910506,3608980.0
V1_raw_residual,log_hourly_wage_real,female_top5_share,pre_2020,0.034691476813722893,6125649.0
V1_raw_residual,log_hourly_wage_real,male_p90_p10,post_2020,1.7714926031426748,3608980.0
V1_raw_residual,log_hourly_wage_real,male_p90_p10,pre_2020,1.7612350888642514,6125649.0
V1_raw_residual,log_hourly_wage_real,male_p95_p50,post_2020,1.2865539443336387,3608980.0
V1_raw_residual,log_hourly_wage_real,male_p95_p50,pre_2020,1.1982738227225578,6125649.0
V1_raw_residual,log_hourly_wage_real,male_top10_share,post_2020,0.12290175258202768,3608980.0
V1_raw_residual,log_hourly_wage_real,male_top10_share,pre_2020,0.12654405755863193,6125649.0
V1_raw_residual,log_hourly_wage_real,male_top5_share,post_2020,0.061918436866103564,3608980.0
V1_raw_residual,log_hourly_wage_real,male_top5_share,pre_2020,0.06673440002314808,6125649.0
V1_raw_residual,log_hourly_wage_real,raw_variance_ratio,post_2020,0.9216786350387762,3608980.0
V1_raw_residual,log_hourly_wage_real,raw_variance_ratio,pre_2020,0.8913570811525408,6125649.0
V1_raw_residual,log_hourly_wage_real,residual_variance_ratio,post_2020,0.9489221053228192,3608980.0
V1_raw_residual,log_hourly_wage_real,residual_variance_ratio,pre_2020,0.9504938972058794,6125649.0
V2_selection_corrected,log_hourly_wage_real,female_p90_p10,post_2020,1.713294863603522,3608980.0
V2_selection_corrected,log_hourly_wage_real,female_p90_p10,pre_2020,1.6960770968182104,6125649.0
V2_selection_corrected,log_hourly_wage_real,female_p95_p50,post_2020,1.193029195936417,3608980.0
V2_selection_corrected,log_hourly_wage_real,female_p95_p50,pre_2020,1.1188467034961496,6125649.0
V2_selection_corrected,log_hourly_wage_real,female_top10_share,post_2020,0.07824512981310824,3608980.0
V2_selection_corrected,log_hourly_wage_real,female_top10_share,pre_2020,0.07472276574200454,6125649.0
V2_selection_corrected,log_hourly_wage_real,female_top5_share,post_2020,0.03745390086973972,3608980.0
V2_selection_corrected,log_hourly_wage_real,female_top5_share,pre_2020,0.03469147761409738,6125649.0
V2_selection_corrected,log_hourly_wage_real,male_p90_p10,post_2020,1.7714926745410704,3608980.0
V2_selection_corrected,log_hourly_wage_real,male_p90_p10,pre_2020,1.7612349926363613,6125649.0
V2_selection_corrected,log_hourly_wage_real,male_p95_p50,post_2020,1.286553850197131,3608980.0
V2_selection_corrected,log_hourly_wage_real,male_p95_p50,pre_2020,1.1982738264981063,6125649.0
V2_selection_corrected,log_hourly_wage_real,male_top10_share,post_2020,0.12290175263754505,3608980.0
V2_selection_corrected,log_hourly_wage_real,male_top10_share,pre_2020,0.12654405866558632,6125649.0
V2_selection_corrected,log_hourly_wage_real,male_top5_share,post_2020,0.061918436905008464,3608980.0
V2_selection_corrected,log_hourly_wage_real,male_top5_share,pre_2020,0.06673440061154245,6125649.0
V2_selection_corrected,log_hourly_wage_real,raw_variance_ratio,post_2020,0.9216786320656758,3608980.0
V2_selection_corrected,log_hourly_wage_real,raw_variance_ratio,pre_2020,0.891357082262187,6125649.0
V2_selection_corrected,log_hourly_wage_real,residual_variance_ratio,post_2020,0.948922102449191,3608980.0
V2_selection_corrected,log_hourly_wage_real,residual_variance_ratio,pre_2020,0.9504939025656935,6125649.0
