suite,outcome,stratifier,stratum,metric,value,n_obs
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,childless_recently_married,male_top10_share,0.12379099570443561,2956185
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,childless_recently_married,female_top10_share,0.07428970042481572,2956185
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,childless_recently_married,male_top5_share,0.06265918612996525,2956185
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,childless_recently_married,female_top5_share,0.03634360234495606,2956185
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,childless_unpartnered,raw_variance_ratio,0.8892380689522323,2216051
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,childless_unpartnered,residual_variance_ratio,0.8592721208332116,2216051
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,childless_unpartnered,male_p90_p10,1.735450029373169,2216051
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,childless_unpartnered,female_p90_p10,1.6666512489318848,2216051
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,childless_unpartnered,male_p95_p50,1.149657964706421,2216051
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,childless_unpartnered,female_p95_p50,1.0884532928466797,2216051
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,childless_unpartnered,male_top10_share,0.10198187957355966,2216051
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,childless_unpartnered,female_top10_share,0.09724199526402637,2216051
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,childless_unpartnered,male_top5_share,0.05249194796186246,2216051
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,childless_unpartnered,female_top5_share,0.046633965391321926,2216051
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,childless_other_partnered,raw_variance_ratio,0.8740155069863467,22902
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,childless_other_partnered,residual_variance_ratio,0.9582183064354218,22902
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,childless_other_partnered,male_p90_p10,1.742969036102295,22902
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,childless_other_partnered,female_p90_p10,1.5454742908477783,22902
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,childless_other_partnered,male_p95_p50,1.3011431694030762,22902
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,childless_other_partnered,female_p95_p50,1.0885848999023438,22902
