suite,outcome,stratifier,stratum,metric,value,n_obs,occupation_harmonized_code,occupation_harmonized_title,occupation_harmonization_type,occupation_title_vintage,soc_major_group,soc_major_label
V5_occupation_dispersion,log_hourly_wage_real,occupation_harmonized_code,6200,raw_variance_ratio,1.0969370738386173,45322,6200,First-line supervisors of construction trades and extraction workers,mixed_vintage_mapping,mixed,47,Construction and Extraction
V5_occupation_dispersion,log_hourly_wage_real,occupation_harmonized_code,6200,residual_variance_ratio,0.9931994194901003,45322,6200,First-line supervisors of construction trades and extraction workers,mixed_vintage_mapping,mixed,47,Construction and Extraction
V5_occupation_dispersion,log_hourly_wage_real,occupation_harmonized_code,6200,male_p90_p10,1.3155858516693115,45322,6200,First-line supervisors of construction trades and extraction workers,mixed_vintage_mapping,mixed,47,Construction and Extraction
V5_occupation_dispersion,log_hourly_wage_real,occupation_harmonized_code,6200,female_p90_p10,1.4814550876617432,45322,6200,First-line supervisors of construction trades and extraction workers,mixed_vintage_mapping,mixed,47,Construction and Extraction
V5_occupation_dispersion,log_hourly_wage_real,occupation_harmonized_code,6200,male_p95_p50,0.8300213813781738,45322,6200,First-line supervisors of construction trades and extraction workers,mixed_vintage_mapping,mixed,47,Construction and Extraction
V5_occupation_dispersion,log_hourly_wage_real,occupation_harmonized_code,6200,female_p95_p50,1.0481657981872559,45322,6200,First-line supervisors of construction trades and extraction workers,mixed_vintage_mapping,mixed,47,Construction and Extraction
V5_occupation_dispersion,log_hourly_wage_real,occupation_harmonized_code,6200,male_top10_share,0.10203487960336201,45322,6200,First-line supervisors of construction trades and extraction workers,mixed_vintage_mapping,mixed,47,Construction and Extraction
V5_occupation_dispersion,log_hourly_wage_real,occupation_harmonized_code,6200,female_top10_share,0.08715160501963369,45322,6200,First-line supervisors of construction trades and extraction workers,mixed_vintage_mapping,mixed,47,Construction and Extraction
V5_occupation_dispersion,log_hourly_wage_real,occupation_harmonized_code,6200,male_top5_share,0.049959863911493846,45322,6200,First-line supervisors of construction trades and extraction workers,mixed_vintage_mapping,mixed,47,Construction and Extraction
V5_occupation_dispersion,log_hourly_wage_real,occupation_harmonized_code,6200,female_top5_share,0.051289233050498394,45322,6200,First-line supervisors of construction trades and extraction workers,mixed_vintage_mapping,mixed,47,Construction and Extraction
V5_occupation_dispersion,log_hourly_wage_real,occupation_harmonized_code,4230,raw_variance_ratio,0.92804840587675,62719,4230,Maids and housekeeping cleaners,mixed_vintage_mapping,mixed,37,Building and Grounds Cleaning and Maintenance
V5_occupation_dispersion,log_hourly_wage_real,occupation_harmonized_code,4230,residual_variance_ratio,0.9230497431533818,62719,4230,Maids and housekeeping cleaners,mixed_vintage_mapping,mixed,37,Building and Grounds Cleaning and Maintenance
V5_occupation_dispersion,log_hourly_wage_real,occupation_harmonized_code,4230,male_p90_p10,1.3996663093566895,62719,4230,Maids and housekeeping cleaners,mixed_vintage_mapping,mixed,37,Building and Grounds Cleaning and Maintenance
V5_occupation_dispersion,log_hourly_wage_real,occupation_harmonized_code,4230,female_p90_p10,1.4075560569763184,62719,4230,Maids and housekeeping cleaners,mixed_vintage_mapping,mixed,37,Building and Grounds Cleaning and Maintenance
V5_occupation_dispersion,log_hourly_wage_real,occupation_harmonized_code,4230,male_p95_p50,0.9407393932342529,62719,4230,Maids and housekeeping cleaners,mixed_vintage_mapping,mixed,37,Building and Grounds Cleaning and Maintenance
V5_occupation_dispersion,log_hourly_wage_real,occupation_harmonized_code,4230,female_p95_p50,1.0033020973205566,62719,4230,Maids and housekeeping cleaners,mixed_vintage_mapping,mixed,37,Building and Grounds Cleaning and Maintenance
V5_occupation_dispersion,log_hourly_wage_real,occupation_harmonized_code,4230,male_top10_share,0.1274875750139201,62719,4230,Maids and housekeeping cleaners,mixed_vintage_mapping,mixed,37,Building and Grounds Cleaning and Maintenance
V5_occupation_dispersion,log_hourly_wage_real,occupation_harmonized_code,4230,female_top10_share,0.09594248393107076,62719,4230,Maids and housekeeping cleaners,mixed_vintage_mapping,mixed,37,Building and Grounds Cleaning and Maintenance
V5_occupation_dispersion,log_hourly_wage_real,occupation_harmonized_code,4230,male_top5_share,0.05743146338308327,62719,4230,Maids and housekeeping cleaners,mixed_vintage_mapping,mixed,37,Building and Grounds Cleaning and Maintenance
