status,reproductive_stage,metric,male_mean_minutes,female_mean_minutes,gap_minutes,n_male,n_female,weighted_n_male,weighted_n_female
ok,childless_other_partnered,minutes_childcare,0.26696535406183913,0.8854574437619201,0.618492089700081,2202,2139,23161371055.384098,22728990161.1417
ok,childless_unpartnered,minutes_childcare,0.4031842118982793,1.5912027766976546,1.1880185647993753,2862,3402,30483078113.233757,29519494615.62877
ok,mother_6_17_only,minutes_childcare,12.432541032026242,20.129743651541716,7.697202619515474,1637,2266,17553123408.568943,22224000460.499268
ok,mother_under6,minutes_childcare,79.88001765688672,119.50683131254311,39.62681365565639,1023,1010,8692236037.449387,8648223976.946764
ok,overall,minutes_childcare,11.654045625609909,23.025477385500036,11.371431759890127,7724,9027,79889808614.6362,85109272802.86182
ok,recent_birth,minutes_childcare,,207.03351257928708,,0,210,0.0,1988563588.645308
ok,childless_other_partnered,minutes_commute_related_travel,16.124725386324975,9.926674503408357,-6.198050882916618,2202,2139,23161371055.384098,22728990161.1417
ok,childless_unpartnered,minutes_commute_related_travel,13.959902058005154,9.20121078569929,-4.758691272305864,2862,3402,30483078113.233757,29519494615.62877
ok,mother_6_17_only,minutes_commute_related_travel,25.10409705458607,12.553854055394655,-12.550242999191415,1637,2266,17553123408.568943,22224000460.499268
ok,mother_under6,minutes_commute_related_travel,26.432149847562652,10.202242780368028,-16.229907067194624,1023,1010,8692236037.449387,8648223976.946764
ok,overall,minutes_commute_related_travel,18.393101164207707,10.323309273608123,-8.069791890599584,7724,9027,79889808614.6362,85109272802.86182
ok,recent_birth,minutes_commute_related_travel,,7.11208179114818,,0,210,0.0,1988563588.645308
ok,childless_other_partnered,minutes_eldercare,0.1355829618810743,0.1703338196881515,0.03475085780707721,2202,2139,23161371055.384098,22728990161.1417
ok,childless_unpartnered,minutes_eldercare,0.07755413072784986,0.10292144714216075,0.025367316414310892,2862,3402,30483078113.233757,29519494615.62877
ok,mother_6_17_only,minutes_eldercare,3.0769247615299578,6.401000828771998,3.3240760672420406,1637,2266,17553123408.568943,22224000460.499268
ok,mother_under6,minutes_eldercare,3.5404332414201387,22.721760915326108,19.18132767390597,1023,1010,8692236037.449387,8648223976.946764
ok,overall,minutes_eldercare,1.130160391504907,4.214744143485082,3.0845837519801753,7724,9027,79889808614.6362,85109272802.86182
ok,recent_birth,minutes_eldercare,,6.560203278093545,,0,210,0.0,1988563588.645308
ok,childless_other_partnered,minutes_housework,16.97730018060962,54.434187960334974,37.45688777972535,2202,2139,23161371055.384098,22728990161.1417
ok,childless_unpartnered,minutes_housework,17.694434934301224,35.30690292369278,17.612467989391558,2862,3402,30483078113.233757,29519494615.62877
ok,mother_6_17_only,minutes_housework,18.311011699234815,56.21836011548982,37.907348416255005,1637,2266,17553123408.568943,22224000460.499268
ok,mother_under6,minutes_housework,15.959841155564812,65.0722773157376,49.112436160172784,1023,1010,8692236037.449387,8648223976.946764
ok,overall,minutes_housework,17.43326927378826,49.34552156899947,31.912252295211214,7724,9027,79889808614.6362,85109272802.86182
ok,recent_birth,minutes_housework,,54.37538637968391,,0,210,0.0,1988563588.645308
ok,childless_other_partnered,minutes_paid_work_diary,197.5368453015683,154.2381101149711,-43.298735186597185,2202,2139,23161371055.384098,22728990161.1417
ok,childless_unpartnered,minutes_paid_work_diary,174.39561290225717,133.25462563427118,-41.14098726798599,2862,3402,30483078113.233757,29519494615.62877
ok,mother_6_17_only,minutes_paid_work_diary,301.3289728878464,187.76652162878057,-113.56245125906585,1637,2266,17553123408.568943,22224000460.499268
ok,mother_under6,minutes_paid_work_diary,315.0893813433659,166.2486457772597,-148.84073556610622,1023,1010,8692236037.449387,8648223976.946764
ok,overall,minutes_paid_work_diary,224.30189151522907,156.33814786912066,-67.96374364610841,7724,9027,79889808614.6362,85109272802.86182
ok,recent_birth,minutes_paid_work_diary,,128.66654054371335,,0,210,0.0,1988563588.645308
ok,childless_other_partnered,minutes_work_at_home_diary,0.0,0.012833383631923228,0.012833383631923228,2202,2139,23161371055.384098,22728990161.1417
ok,childless_unpartnered,minutes_work_at_home_diary,0.0002769678921239805,0.0003522784848433794,7.531059271939888e-05,2862,3402,30483078113.233757,29519494615.62877
ok,mother_6_17_only,minutes_work_at_home_diary,0.012147777101626905,0.0,-0.012147777101626905,1637,2266,17553123408.568943,22224000460.499268
ok,mother_under6,minutes_work_at_home_diary,0.007080881745768905,0.0,-0.007080881745768905,1023,1010,8692236037.449387,8648223976.946764
ok,overall,minutes_work_at_home_diary,0.003545170089826954,0.003549424442156885,4.254352329931266e-06,7724,9027,79889808614.6362,85109272802.86182
ok,recent_birth,minutes_work_at_home_diary,,0.0,,0,210,0.0,1988563588.645308
