group,male_mean,female_mean,gap_dollars,gap_pct,n
construction,31.014427962417887,29.827003949533065,1.1874240128848221,3.828618133223988,54263
education_health,39.50850938209307,30.771316923839706,8.73719245825336,22.114710463395582,232033
government,38.05765415473025,33.28516744931655,4.772486705413698,12.540149442764637,52148
information_finance,56.73922568741001,39.739321545489176,16.999904141920837,29.96146657971221,63827
leisure_hospitality,24.048316409789603,21.042189135265804,3.0061272745237986,12.500364779382487,57164
manufacturing,36.21025217004783,32.21156476483911,3.9986874052087202,11.042970334562678,97837
military,32.247786057094004,28.871853825067372,3.3759322320266314,10.468725592664304,8262
natural_resources,35.27864172259315,30.560813544107816,4.717828178485334,13.373043711781971,22901
other,49.35773327248305,34.37462113045329,14.98311214202976,30.356159306008585,17987
other_services,27.577654798375576,24.791796830908183,2.7858579674673933,10.101866847762162,32689
professional_services,48.097305102708646,38.17944851737315,9.917856585335493,20.620399758690343,115617
trade,30.956382231860495,24.86087186946645,6.0955103623940445,19.690641873908987,104977
transport_utilities,30.197036836315675,25.29293852071971,4.9040983155959665,16.240329613063825,41192
