group,gap,se,ci_lower,ci_upper,n
healthcare,-0.2588424575286288,0.005882442884506859,-0.27037204558226224,-0.24731286947499534,95236
management_professional,-0.2773185782346411,0.00218152296102682,-0.2815943632382537,-0.27304279323102854,369558
military,-0.06262443543378132,0.02459450520606015,-0.11082966563765922,-0.014419205229903427,4188
natural_resources_construction,-0.32609137738110017,0.011768362070754329,-0.3491573670397787,-0.30302538772242166,44563
production_transport,-0.2587568224571604,0.003958193929883138,-0.2665148825597314,-0.25099876235458946,137238
sales_office,-0.2667642250765532,0.003397554028493093,-0.27342343097239963,-0.2601050191807067,160231
service,-0.2527204954432539,0.004438811103998327,-0.26142056520709067,-0.2440204256794172,89883
