group,gap,se,ci_lower,ci_upper,n
associates,-0.22171772035102116,0.004021687436756889,-0.22960022772706468,-0.21383521297497765,87747
bachelors,-0.2334254189318997,0.002674505564836469,-0.23866744983897917,-0.22818338802482022,249046
doctorate,-0.12141530419627684,0.009613591768382442,-0.14025794406230643,-0.10257266433024725,19451
hs_diploma,-0.23325515833327637,0.002929274823389783,-0.23899653698712034,-0.2275137796794324,184523
less_than_hs,-0.20549448312849494,0.005665415314667839,-0.2165986971452439,-0.19439026911174598,55687
masters,-0.2632496227973515,0.0037749676797781653,-0.27064855944971666,-0.2558506861449863,120751
professional,-0.17076782800610668,0.010227111545299376,-0.19081296663489344,-0.15072268937731992,23588
some_college,-0.24988660227444007,0.003069267231060327,-0.2559023660473183,-0.24387083850156183,160104
