group,male_mean,female_mean,gap_dollars,gap_pct,n
healthcare,51.06914325109961,34.71226249202526,16.35688075907435,32.028892042793686,95236
management_professional,50.411312552861006,37.51581456475312,12.895497988107884,25.580563835916276,369558
military,32.80307212393375,27.836145018257206,4.966927105676547,15.141652241933098,4188
natural_resources_construction,27.52225236472771,20.849917351091687,6.672335013636022,24.24341919844915,44563
production_transport,26.02591576402687,20.346095459907986,5.679820304118884,21.823709703885065,137238
sales_office,33.8893615721793,24.548357195394242,9.341004376785055,27.563235019609632,160231
service,24.310545995503215,19.326790513392137,4.9837554821110785,20.50038482489425,89883
