group,gap,se,ci_lower,ci_upper,n
healthcare,-0.26097365908720893,0.006257489140615842,-0.273238337802816,-0.24870898037160188,89721
management_professional,-0.272694911787079,0.0023001487599568983,-0.27720320335659454,-0.26818662021756345,344847
military,-0.01996506778148434,0.027100579287771133,-0.07308220318551575,0.033152067622547084,3740
natural_resources_construction,-0.3415168250663405,0.013234656961737989,-0.367456752711347,-0.31557689742133405,43268
production_transport,-0.2708846224399097,0.004462619397661105,-0.27963135645932546,-0.2621378884204939,132627
sales_office,-0.2535850138281258,0.0036895063553900975,-0.2608164462846904,-0.24635358137156121,153870
service,-0.2350327135967489,0.0050583380574277925,-0.24494705618930737,-0.22511837100419044,87104
