model,employment_female_prob_pp,female_conditional_log_earnings_coef,female_conditional_earnings_pct,combined_expected_earnings_male,combined_expected_earnings_female,combined_expected_earnings_gap_dollars,combined_expected_earnings_gap_pct,observed_total_earnings_gap_pct,observed_worker_hourly_gap_pct,ipw_worker_hourly_gap_pct,employment_model_female_coef,n_total,n_employed
S0,-8.68301408224349,-0.3238395490540417,-27.66337021242451,62870.42029198358,40662.43514059674,22207.98515138684,35.32342403350931,35.22133777499008,17.139894158351,17.139894158350998,-0.5055293018456545,1158694,884726
S1,-10.57498778706145,-0.40245840409048184,-33.13258475427664,64987.77863783567,38774.92153178396,26212.857106051706,40.33505630671098,35.22133777499008,17.139894158351,18.071198950207705,-0.657727132109516,1158694,884726
S2,-8.37232694364339,-0.3830666893878037,-31.823256888272045,63745.858600861255,39749.65378188916,23996.204818972095,37.64355104105208,35.22133777499008,17.139894158351,17.962866617021188,-0.528049453575578,1158694,884726
