quantile,female_coef,female_se,female_pvalue,n_obs
0.1,-0.1688334613689335,0.002770697890845805,0.0,855177
0.25,-0.16069655581736697,0.0020113976807896554,0.0,855177
0.5,-0.1499293483764177,0.001702260571696411,0.0,855177
0.75,-0.16567378469824234,0.0019177675367595911,0.0,855177
0.9,-0.1834051605183049,0.0031860494228312334,0.0,855177
