group,gap,se,ci_lower,ci_upper,n
construction,-0.0729035844136066,0.009556705354279112,-0.09163472690799365,-0.05417244191921954,51982
education_health,-0.19346877617544977,0.003465621245728666,-0.20026139381707797,-0.18667615853382158,220772
government,-0.1532369314398088,0.005232543073819003,-0.16349271586449404,-0.14298114701512354,50536
information_finance,-0.31006208594240275,0.006098771441572046,-0.32201567796788394,-0.29810849391692157,61201
leisure_hospitality,-0.12630745562096854,0.006789653022251326,-0.13961517554458114,-0.11299973569735594,53997
manufacturing,-0.1690043460404347,0.005055949051396472,-0.1789140061811718,-0.15909468589969764,94524
military,0.010012255787630875,0.018178483804086553,-0.02561757246837877,0.04564208404364052,7469
natural_resources,-0.2090160793782558,0.011831166935291787,-0.2322051665714277,-0.18582699218508392,20991
other,-0.31618695140413494,0.009977514876905114,-0.33574288056286894,-0.29663102224540094,17248
other_services,-0.11461546395910763,0.008249050010923643,-0.13078360198051797,-0.09844732593769728,30925
professional_services,-0.21005909579559312,0.004776386785985719,-0.21942081389612514,-0.2006973776950611,107019
trade,-0.190681242840211,0.004729815110934546,-0.19995168045764272,-0.1814108052227793,100029
transport_utilities,-0.17056855475655777,0.008000470268838386,-0.186249476483481,-0.15488763302963454,38484
