group,gap,se,ci_lower,ci_upper,n
1,-0.2409528573535498,0.013358874135905589,-0.26713625065992475,-0.21476946404717484,11872
2,-0.09334168059636656,0.03320156625142122,-0.15841675044915215,-0.028266610743580972,1807
4,-0.15957281208733246,0.010477084095091762,-0.18010789691371232,-0.1390377272609526,18153
5,-0.18223220206617716,0.016293746691516252,-0.214167945581549,-0.1502964585508053,7146
6,-0.13559913583600575,0.004823882502413311,-0.14505394554073583,-0.12614432613127566,106867
8,-0.14093968725970085,0.010898223982647118,-0.1623002062656892,-0.11957916825371251,17138
9,-0.15486324929031106,0.015023948202911776,-0.18431018776801814,-0.125416310812604,9709
10,-0.11008997424210047,0.02982547012519714,-0.16854789568748688,-0.051632052796714074,2296
11,-0.07284284873991695,0.026301550758120906,-0.12439388822583392,-0.021291809253999976,2802
12,-0.13441776532753877,0.006602349342263904,-0.147358370038376,-0.12147716061670152,48353
13,-0.16109976528421688,0.009225257835601897,-0.1791812706419966,-0.14301825992643716,25479
15,-0.1974722453205397,0.02309912322257985,-0.2427465268367962,-0.1521979638042832,3948
16,-0.17541050744946593,0.022259291667965656,-0.21903871911867862,-0.13178229578025324,4372
17,-0.1882439228551725,0.007838058214358129,-0.20360651695531443,-0.17288132875503057,35053
18,-0.20743363977213852,0.010390840158236757,-0.22779968648228258,-0.18706759306199447,17978
19,-0.17673637114552948,0.014445559152300313,-0.2050496670840381,-0.14842307520702086,8318
20,-0.18136360726433975,0.016124223179942578,-0.21296708469702721,-0.1497601298316523,7329
21,-0.16869626705577984,0.01304097889722914,-0.19425658569434895,-0.14313594841721072,11507
22,-0.2634579891442353,0.014468692453006088,-0.29181662635212724,-0.23509935193634335,10290
23,-0.12891488739164975,0.024652501180081658,-0.1772337897046098,-0.0805959850786897,3044
24,-0.10476724760976412,0.010873850021591447,-0.12607999365208336,-0.08345450156744488,17627
25,-0.13819533454793045,0.010065410570201721,-0.15792353926552583,-0.11846712983033508,20860
26,-0.18432000578717908,0.009265728845506142,-0.2024808343243711,-0.16615917724998705,24750
27,-0.1281768346428995,0.011348667752693845,-0.15042022343817943,-0.10593344584761957,15159
28,-0.1743310778823488,0.017535189019603718,-0.2087000483607721,-0.1399621074039255,6445
29,-0.19881880803850707,0.011063903082689524,-0.22050405808057855,-0.1771335579964356,16297
30,-0.10165867021802438,0.030120821106318706,-0.16069547958640906,-0.04262186084963972,2442
31,-0.18503661021728834,0.018297102714749547,-0.22089893153819745,-0.14917428889637924,5189
32,-0.12368225311162401,0.016254180082742407,-0.15554044607379913,-0.09182406014944888,8057
33,-0.21888461015145463,0.02264695716703976,-0.26327264619885254,-0.17449657410405672,3537
34,-0.16813718995648505,0.009654505556605412,-0.18706002084743165,-0.14921435906553845,26312
35,-0.1682037290194192,0.021755922074640683,-0.21084533628571495,-0.12556212175312348,4304
36,-0.11282538236534811,0.006703289497728605,-0.12596382978089618,-0.09968693494980005,53169
37,-0.16932264009591683,0.008829856054452967,-0.18662915796264465,-0.152016122229189,26748
38,-0.1790123868460229,0.02845043106577904,-0.2347752317349498,-0.12324954195709598,1898
39,-0.1707280770825009,0.007841806140220163,-0.18609801711733243,-0.15535813704766938,31470
40,-0.2075501554111001,0.014912831370808103,-0.23677930489788399,-0.17832100592431624,9114
41,-0.10844959331453209,0.013337468353736384,-0.1345910312878554,-0.08230815534120878,11607
42,-0.17001357607061446,0.007934933173068127,-0.185566045089828,-0.15446110705140093,33534
44,-0.09488320138154359,0.025003913639671468,-0.14389087211529966,-0.045875530647787516,2961
45,-0.18496317662428113,0.012702074797825005,-0.20985924322801813,-0.16006711002054413,12441
46,-0.10766659849595851,0.02885792298994165,-0.16422812755624416,-0.051105069435672876,2116
47,-0.15668133334200096,0.010564502914681192,-0.1773877590547761,-0.13597490762922582,17863
48,-0.1982296812552479,0.005638943815888844,-0.20928201113439004,-0.18717735137610575,69360
49,-0.27341073000082555,0.01430524390606562,-0.30144900805671415,-0.24537245194493693,9188
50,-0.06631847301455963,0.034073072462062766,-0.13310169504020264,0.0004647490110833846,1613
51,-0.17749912722868114,0.009424160350413931,-0.19597048151549246,-0.15902777294186982,24366
53,-0.19532772391807285,0.010129156208210097,-0.21518087008616463,-0.17547457774998107,22231
54,-0.17477161343783781,0.0228656640125224,-0.21958831490238173,-0.1299549119732939,3944
55,-0.15685458775392283,0.010567466732368686,-0.17756682254936546,-0.1361423529584802,15663
56,-0.2729212217825141,0.03626844503370319,-0.34400737404857235,-0.20183506951645586,1451
