group,male_mean,female_mean,gap_dollars,gap_pct,n
construction,32.275881115472316,29.77845551615665,2.4974255993156653,7.737745688121453,51982
education_health,39.23788963823471,31.41472134018015,7.823168298054561,19.937790666579083,220772
government,37.06065196745488,32.24499519431735,4.815656773137533,12.993988279986121,50536
information_finance,55.069029876595074,38.31484945292791,16.754180423667165,30.423961455670877,61201
leisure_hospitality,27.41154125716239,24.303518594707814,3.1080226624545766,11.338372524538284,53997
manufacturing,36.801504014828446,32.214769047292805,4.586734967535641,12.463444335556247,94524
military,31.46357052550343,31.0870624049252,0.376508120578233,1.1966477875517871,7469
natural_resources,35.57824535338665,30.221659726884653,5.356585626501996,15.055789214158391,20991
other,48.351715200639504,34.171084396292116,14.180630804347388,29.328082252105574,17248
other_services,28.63040067449143,27.489664410345235,1.1407362641461951,3.9843531256010216,30925
professional_services,46.53962783486426,37.13840221566061,9.40122561920365,20.20047442700198,107019
trade,30.976661061700913,26.12075288887078,4.855908172830134,15.676021902934876,100029
transport_utilities,31.104893007942216,27.420395731267387,3.684497276674829,11.84539447132656,38484
