model,female_coef,female_se,female_pvalue,r_squared,n_obs
M0,-0.16391078177972113,0.0016298744836562358,0.0,0.011688148715552571,855177
M1,-0.22473897120796768,0.0014749278865425581,0.0,0.2061847231072803,855177
M2,-0.2221813183809344,0.0014609996826564504,0.0,0.22158330201000243,855177
M3,-0.1344642409338768,0.0016264439574619767,0.0,0.33438829957629657,855177
M4,-0.15049743711911415,0.0016259956175815357,0.0,0.34244514390452985,855177
M5,-0.1532953381205728,0.0016910383450514388,0.0,0.3455374987578934,855177
